panel,gender,row_order,system,endpoint,label_display,seed,baseline_auc_raw,baseline_auc_plotted,gait_auc
a,male,7,medical_conditions,Psoriasis,Psoriasis,2,0.5,0.5,0.4964671654197839
a,male,7,medical_conditions,Psoriasis,Psoriasis,3,0.5,0.5,0.4343308395677473
a,male,7,medical_conditions,Psoriasis,Psoriasis,4,0.5,0.5,0.4821131694573091
a,male,7,medical_conditions,Psoriasis,Psoriasis,5,0.5388463365396035,0.5388463365396035,0.4947749673435459
a,male,7,medical_conditions,Psoriasis,Psoriasis,6,0.530830661441634,0.530830661441634,0.5262884455527846
a,male,7,medical_conditions,Psoriasis,Psoriasis,7,0.524848592803705,0.524848592803705,0.5120977318608242
a,male,7,medical_conditions,Psoriasis,Psoriasis,8,0.5,0.5,0.4738154613466334
a,male,7,medical_conditions,Psoriasis,Psoriasis,9,0.5050023750148438,0.5050023750148438,0.4925929224557653
a,male,8,medical_conditions,Renal Stones,Renal Stones,0,0.5,0.5,0.572382912649406
a,male,8,medical_conditions,Renal Stones,Renal Stones,1,0.5133968873000396,0.5133968873000396,0.5571805149315712
a,male,8,medical_conditions,Renal Stones,Renal Stones,2,0.5,0.5,0.52291192720182
a,male,8,medical_conditions,Renal Stones,Renal Stones,3,0.5,0.5,0.3898458094103203
a,male,8,medical_conditions,Renal Stones,Renal Stones,4,0.5,0.5,0.487451702596324
a,male,8,medical_conditions,Renal Stones,Renal Stones,5,0.5,0.5,0.5272451522045283
a,male,8,medical_conditions,Renal Stones,Renal Stones,6,0.5276423644964432,0.5276423644964432,0.4721409742534214
a,male,8,medical_conditions,Renal Stones,Renal Stones,7,0.5,0.5,0.5079261907341205
a,male,8,medical_conditions,Renal Stones,Renal Stones,8,0.5,0.5,0.4764019788394179
a,male,8,medical_conditions,Renal Stones,Renal Stones,9,0.5225508251182609,0.5225508251182609,0.4710215577943885
a,male,9,medical_conditions,Fractures,Fractures,0,0.5,0.5,0.5136895542935811
a,male,9,medical_conditions,Fractures,Fractures,1,0.5,0.5,0.4991524694544829
a,male,9,medical_conditions,Fractures,Fractures,2,0.5,0.5,0.5215797625193599
a,male,9,medical_conditions,Fractures,Fractures,3,0.5036783686112545,0.5036783686112545,0.5124462226811219
a,male,9,medical_conditions,Fractures,Fractures,4,0.5,0.5,0.5006410256410256
a,male,9,medical_conditions,Fractures,Fractures,5,0.5,0.5,0.5204439855446568
a,male,9,medical_conditions,Fractures,Fractures,6,0.5,0.5,0.5221562553777319
a,male,9,medical_conditions,Fractures,Fractures,7,0.5018929616245053,0.5018929616245053,0.524371880915505
a,male,9,medical_conditions,Fractures,Fractures,8,0.5049432111512648,0.5049432111512648,0.5065651350886251
a,male,9,medical_conditions,Fractures,Fractures,9,0.5,0.5,0.5335183273102736
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,0,0.5,0.5,0.5115252784918595
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,1,0.5,0.5,0.5471865181376749
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,2,0.5,0.5,0.557369323050557
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,3,0.5,0.5,0.5252570694087404
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,4,0.5,0.5,0.5229934304484434
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,5,0.5,0.5,0.5289274493002
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,6,0.5,0.5,0.5655812624964296
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,7,0.5,0.5,0.5410168523279064
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,8,0.5,0.5,0.5635032847757784
a,male,10,medical_conditions,Anal Fissure,Anal Fissure,9,0.5,0.5,0.5545629820051414
a,male,11,medical_conditions,Back Pain,Back Pain,0,0.5534167397399005,0.5534167397399005,0.5744247798540182
a,male,11,medical_conditions,Back Pain,Back Pain,1,0.5544208277241908,0.5544208277241908,0.5781150810804134
a,male,11,medical_conditions,Back Pain,Back Pain,2,0.5540095592140202,0.5540095592140202,0.5722338178809174
a,male,11,medical_conditions,Back Pain,Back Pain,3,0.5654509750645309,0.5654509750645309,0.5746297965888179
a,male,11,medical_conditions,Back Pain,Back Pain,4,0.5601501809334437,0.5601501809334437,0.6076745421087083
