panel,target,series,seed,pearson_r
Female,VAT area,GaitMAE gait embeddings,2,0.8004279297847375
Female,VAT area,GaitMAE gait embeddings,3,0.7970361748505825
Female,VAT area,GaitMAE gait embeddings,4,0.797828988702067
Female,VAT area,GaitMAE gait embeddings,5,0.7993601068122601
Female,VAT area,GaitMAE gait embeddings,6,0.7973873939007247
Female,VAT area,GaitMAE gait embeddings,7,0.7976286771600232
Female,VAT area,GaitMAE gait embeddings,8,0.7958575943913057
Female,VAT area,GaitMAE gait embeddings,9,0.7958184132721755
Female,VAT area,GaitMAE gait embeddings,10,0.797698254254283
Female,VAT area,GaitMAE gait embeddings,11,0.7987574977063894
Female,VAT area,GaitMAE gait embeddings,12,0.7958574712300556
Female,VAT area,GaitMAE gait embeddings,13,0.796507227202507
Female,VAT area,GaitMAE gait embeddings,14,0.7964542114051429
Female,VAT area,Normalized keypoints,0,0.7785453145962551
Female,VAT area,Normalized keypoints,1,0.7771501590119321
Female,VAT area,Normalized keypoints,2,0.7753381274819084
Female,VAT area,Normalized keypoints,3,0.7758275892808437
Female,VAT area,Normalized keypoints,4,0.776965743485758
Male,Age,GaitMAE gait embeddings,0,0.7021850475887155
Male,Age,GaitMAE gait embeddings,1,0.7019320206493875
Male,Age,GaitMAE gait embeddings,2,0.7016139668211736
Male,Age,GaitMAE gait embeddings,3,0.6995079694697861
Male,Age,GaitMAE gait embeddings,4,0.6969389889602363
Male,Age,GaitMAE gait embeddings,5,0.7084210386805071
Male,Age,GaitMAE gait embeddings,6,0.7015049681807526
Male,Age,GaitMAE gait embeddings,7,0.7014727699099969
Male,Age,GaitMAE gait embeddings,8,0.7002872827948404
Male,Age,GaitMAE gait embeddings,9,0.7044761753849911
Male,Age,GaitMAE gait embeddings,10,0.7038002605898152
Male,Age,GaitMAE gait embeddings,11,0.7032736273937487
Male,Age,GaitMAE gait embeddings,12,0.697320330697178
Male,Age,GaitMAE gait embeddings,13,0.7044510074035563
Male,Age,GaitMAE gait embeddings,14,0.7031688787907834
Male,Age,Normalized keypoints,0,0.5892299443837119
Male,Age,Normalized keypoints,1,0.5926927686463896
Male,Age,Normalized keypoints,2,0.5805526868731206
Male,Age,Normalized keypoints,3,0.5884352452659423
Male,Age,Normalized keypoints,4,0.5775611838570858
Male,BMI,GaitMAE gait embeddings,0,0.8980659067854702
