row_order,system,system_display,body_group,gender,label,label_display,importance,rank_in_system,in_top10_mean
1,frailty,Frailty,Arms,male,hand_grip_left,L Hand Grip,1.1542445218449497,1,True
1,frailty,Frailty,Arms,female,hand_grip_right,R Hand Grip Strength,0.6908385647076507,2,True
1,frailty,Frailty,Arms,female,hand_grip_left,L Hand Grip,0.6532815122506241,3,True
1,frailty,Frailty,Arms,male,hand_grip_right,R Hand Grip Strength,0.5297737927327755,4,True
1,frailty,Frailty,Arms,female,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,0.15858558405089165,5,True
1,frailty,Frailty,Arms,male,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,0.14026268578791765,6,True
1,frailty,Frailty,Head,female,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,0.30908541117102917,1,True
1,frailty,Frailty,Head,male,hand_grip_left,L Hand Grip,0.2600692306895004,2,True
1,frailty,Frailty,Head,male,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,0.0,3,True
1,frailty,Frailty,Head,male,hand_grip_right,R Hand Grip Strength,0.0,4,True
1,frailty,Frailty,Head,female,hand_grip_left,L Hand Grip,0.0,5,True
1,frailty,Frailty,Head,female,hand_grip_right,R Hand Grip Strength,0.0,6,True
1,frailty,Frailty,Legs,male,hand_grip_right,R Hand Grip Strength,2.0,1,True
1,frailty,Frailty,Legs,female,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,2.0,2,True
1,frailty,Frailty,Legs,female,hand_grip_left,L Hand Grip,2.0,3,True
1,frailty,Frailty,Legs,female,hand_grip_right,R Hand Grip Strength,2.0,4,True
1,frailty,Frailty,Legs,male,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,1.8057155771658917,5,True
1,frailty,Frailty,Legs,male,hand_grip_left,L Hand Grip,1.5897897131078467,6,True
1,frailty,Frailty,Torso,male,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,1.615024263469115,1,True
1,frailty,Frailty,Torso,male,hand_grip_right,R Hand Grip Strength,1.021557144930309,2,True
1,frailty,Frailty,Torso,female,hand_grip_left,L Hand Grip,0.5877894213703796,3,True
1,frailty,Frailty,Torso,female,frailty_body_comp_leg_left_lean_mass,Frailty Leg Left Lean Mass,0.5670661504373113,4,True
1,frailty,Frailty,Torso,female,hand_grip_right,R Hand Grip Strength,0.4365473908414177,5,True
1,frailty,Frailty,Torso,male,hand_grip_left,L Hand Grip,0.30097140948096,6,True
2,hematopoietic,Hematopoietic,Arms,male,bt__hct,BT Hct,1.6727062278812754,1,True
2,hematopoietic,Hematopoietic,Arms,male,bt__ferritin,BT Ferritin,1.0,2,True
2,hematopoietic,Hematopoietic,Arms,female,bt__ferritin,BT Ferritin,1.0,3,True
2,hematopoietic,Hematopoietic,Arms,female,bt__hct,BT Hct,0.3096974433013944,4,True
2,hematopoietic,Hematopoietic,Arms,male,bt__mchc,BT MCHC,0.15805159450581155,5,True
2,hematopoietic,Hematopoietic,Arms,female,bt__mchc,BT MCHC,0.14614293956780097,6,True
2,hematopoietic,Hematopoietic,Head,female,bt__ferritin,BT Ferritin,1.7952920172898705,1,True
2,hematopoietic,Hematopoietic,Head,female,bt__hct,BT Hct,1.5420675871961371,2,True
2,hematopoietic,Hematopoietic,Head,male,bt__ferritin,BT Ferritin,0.7636095476465926,3,True
2,hematopoietic,Hematopoietic,Head,male,bt__mchc,BT MCHC,0.7487598554452826,4,True
2,hematopoietic,Hematopoietic,Head,male,bt__hct,BT Hct,0.17557991474627827,5,True
2,hematopoietic,Hematopoietic,Head,female,bt__mchc,BT MCHC,0.025320157046808928,6,True
2,hematopoietic,Hematopoietic,Legs,male,bt__mchc,BT MCHC,2.0,1,True
2,hematopoietic,Hematopoietic,Legs,female,bt__mchc,BT MCHC,2.0,2,True
2,hematopoietic,Hematopoietic,Legs,female,bt__hct,BT Hct,1.5259852000864742,3,True
2,hematopoietic,Hematopoietic,Legs,male,bt__ferritin,BT Ferritin,1.4573428219733233,4,True
2,hematopoietic,Hematopoietic,Legs,male,bt__hct,BT Hct,0.2783436234838616,5,True
2,hematopoietic,Hematopoietic,Legs,female,bt__ferritin,BT Ferritin,0.06640458698545793,6,True
2,hematopoietic,Hematopoietic,Torso,male,bt__hct,BT Hct,1.190032276326918,1,True
2,hematopoietic,Hematopoietic,Torso,female,bt__hct,BT Hct,0.7673925293721185,2,True
2,hematopoietic,Hematopoietic,Torso,female,bt__ferritin,BT Ferritin,0.4906825365926748,3,True
2,hematopoietic,Hematopoietic,Torso,male,bt__ferritin,BT Ferritin,0.45432286266499927,4,True
2,hematopoietic,Hematopoietic,Torso,female,bt__mchc,BT MCHC,0.24342342900177513,5,True
2,hematopoietic,Hematopoietic,Torso,male,bt__mchc,BT MCHC,0.0,6,True
3,cardiovascular_system,Cardiovascular,Arms,female,r_mv_V3,R-Wave Peak Amplitude,2.0,1,True
3,cardiovascular_system,Cardiovascular,Arms,female,automorph_vein_fractal_dimension,Vein Fractal Dim,1.864739904936537,2,True
