panel,gender,x_position,system,system_display,label,pearson_r,baseline_pearson_r,pearson_r_improvement,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
Male,male,2,metabolites,Metabolites,2.40_252.9003m_z,0.1563487038603978,0.0133455334612463,0.1430031703991514,5.389442998436896e-05,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,2.53_401.2006m_z,0.1666772579455428,0.0480483761670876,0.1186288817784552,1.664563548860445e-05,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.56_393.0653m_z,0.1043170893212467,0.0566604665829016,0.0476566227383451,0.004432396067621,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,2.63_329.0695m_z,0.0849755950879464,0.0378372763220123,0.0471383187659341,0.0322961138042662,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,2.66_437.0916m_z,0.0777757464872049,0.0635554723430704,0.0142202741441344,0.043438196012397,0.017669677734375,0.0868674627538389,15,853,
Male,male,2,metabolites,Metabolites,2.68_539.3581m_z,0.1184633413666313,0.0608854534603528,0.0575778879062784,0.0085097719767226,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,2.74_145.0871m_z,0.0991245443992781,0.0379121657683922,0.0612123786308859,0.0125955058402372,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.76_409.2231m_z,0.0964614946205838,-0.0151772684319608,0.1116387630525447,0.0194749184600345,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.78_401.2006m_z,0.1191129420222179,0.091956777538452,0.0271561644837658,0.0057763424509728,0.001007080078125,0.0063603494019634,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,2.80_443.1746m_z,0.1414890882576029,0.1065399596192759,0.034949128638327,0.0001056351924572,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.83_409.2234m_z,0.0841749223572646,-0.0129367680685606,0.0971116904258253,0.0291896082136398,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.83_583.2558m_z,0.0809804472403906,0.0495706474448915,0.031409799795499,0.0321183757782312,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,2.86_412.2104m_z,0.0968529077214394,-0.0031918936014484,0.1000448013228878,0.0178061212456147,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.88_599.1073m_z,0.1465319291248125,0.0182267947502559,0.1283051343745565,0.0002685033126505,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.90_283.1171m_z,0.0836165739793505,0.0147519211534174,0.068864652825933,0.0470765814895758,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,2.90_497.2747m_z,0.0950939228668022,0.0740068183018366,0.0210871045649656,0.0124813367963405,9.1552734375e-05,0.0007732323640902,15,853,
Male,male,2,metabolites,Metabolites,2.96_401.2001m_z,0.1201560046773849,0.0827107096973828,0.0374452949800021,0.0044490493209775,0.001312255859375,0.0080158054063391,15,853,
Male,male,2,metabolites,Metabolites,2.99_826.4354n,0.0942048010281935,-0.0006523372946098,0.0948571383228034,0.0131688775354402,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.04_301.1803m_z,0.0816907740004756,0.0360375693103966,0.0456532046900789,0.0426872014776741,0.000152587890625,0.0011879660866477,15,853,
Male,male,2,metabolites,Metabolites,3.04_479.1376m_z,0.1046985496877978,0.0377659059986292,0.0669326436891685,0.0056540771225831,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.07_249.1133m_z,0.0756038795797666,0.0385648118415523,0.0370390677382143,0.047309213626052,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.10_690.3280n,0.1512304527674254,0.1181996566759859,0.0330307960914394,8.687636271529153e-05,0.00030517578125,0.0021635143962127,15,853,
Male,male,2,metabolites,Metabolites,3.11_220.0980m_z,0.0786970539259963,0.045056475432388,0.0336405784936083,0.0318387526579102,0.000213623046875,0.0015717077091387,15,853,
Male,male,2,metabolites,Metabolites,3.11_611.3429m_z,0.0921936495341485,-0.044050358680855,0.1362440082150036,0.0215389979144723,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.13_411.2388m_z,0.0902206881934941,0.0750111992010316,0.0152094889924625,0.0241292826120331,0.010772705078125,0.0550462090030205,15,853,
Male,male,2,metabolites,Metabolites,3.19_409.2234m_z,0.1009917795629436,0.0353525972941698,0.0656391822687738,0.0107722179116909,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.24_690.3281n,0.1465823971168543,0.1131687654716726,0.0334136316451816,0.0001617536974532,0.00030517578125,0.0021635143962127,15,853,
Male,male,2,metabolites,Metabolites,3.25_411.2393m_z,0.0815167033009065,0.0753418903471696,0.0061748129537368,0.025499332280184,0.0206298828125,0.0999289119944853,15,853,
Male,male,2,metabolites,Metabolites,3.25_611.3424m_z,0.0849936347437462,-0.0248718339761981,0.1098654687199444,0.0288781111649305,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.33_409.2234m_z,0.1124006054355544,0.0700942903137603,0.042306315121794,0.0019084055324195,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,3.38_627.3743m_z,0.1372714501415917,0.110801258679486,0.0264701914621056,0.0005633620444494,9.1552734375e-05,0.0007732323640902,15,853,
Male,male,2,metabolites,Metabolites,3.50_627.3748m_z,0.1430102175295332,0.1183971582052448,0.0246130593242883,0.0001892727682545,0.000213623046875,0.0015717077091387,15,853,
Male,male,2,metabolites,Metabolites,3.54_457.1538m_z,0.0907630621600411,0.0213311279233623,0.0694319342366787,0.0280141161845299,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.56_519.3153m_z,0.1045051721091014,-0.0004000647958013,0.1049052369049028,0.0097619306510748,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.68_273.1458m_z,0.1678930262083499,0.1141964721624044,0.0536965540459454,0.0001208414974123,6.103515625e-05,0.0005502158717105,15,853,
Male,male,2,metabolites,Metabolites,3.74_350.1736m_z,0.101271450089349,0.0211007857729598,0.0801706643163892,0.0166551118151936,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.86_255.8591m_z,0.0842461102234119,0.0679721897853303,0.0162739204380816,0.0383381596148094,0.004180908203125,0.0229815775683969,15,853,
Male,male,2,metabolites,Metabolites,3.87_275.0418m_z,0.1073071720793809,0.0001655851342291,0.1071415869451518,0.0037560958158279,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.88_350.1742m_z,0.0996284297669362,0.0199719168236333,0.0796565129433028,0.0124817225925406,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.91_385.2059m_z,0.0875871734963712,0.0322491505963542,0.0553380229000169,0.0235471007084974,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.95_407.2812m_z,0.0943814419322484,0.0275441725517809,0.0668372693804674,0.0140601036003817,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.95_407.3749m_z,0.0855552069681975,0.0272889071090814,0.058266299859116,0.0267965345020699,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.95_409.2867m_z,0.0955243778509609,0.0286095723666164,0.0669148054843445,0.0248370943171417,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,3.95_475.2673m_z,0.1086571733064854,0.0379302389629861,0.0707269343434992,0.0055965896173802,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4-Vinylphenol sulfate,0.0854761551760405,0.0578699331277071,0.0276062220483334,0.0460992764331577,0.000579833984375,0.0038855228812108,15,853,Annotated metabolite (original: 2.59_199.0077m_z)
Male,male,2,metabolites,Metabolites,4.11_658.3383n,0.1582999444116453,0.0966830977950372,0.0616168466166081,2.717918555613952e-05,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.13_426.2647m_z,0.0890021624072593,0.0257235849286849,0.0632785774785743,0.0176544027195529,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.20_256.9821m_z,0.2343956885589535,0.0337186722028687,0.2006770163560848,2.2422100263057519e-10,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.20_258.9801m_z,0.2205532217064626,0.0302252082174632,0.1903280134889994,3.456081719332934e-09,3.0517578125e-05,0.0003283323355056,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,4.33_295.1911m_z,0.0864611042742581,0.0632451474508717,0.0232159568233863,0.0368254541074737,0.002685546875,0.0152109943369709,15,853,Metabolite biomarker
Male,male,2,metabolites,Metabolites,4.34_426.2652m_z,0.0789078062796781,0.02452325669434,0.0543845495853381,0.0370848108776437,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.69_562.3154m_z,0.0750477605775773,-0.0003345941545092,0.0753823547320865,0.042583751517586,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.71_552.3305m_z,0.091274563262516,-0.0279202761073944,0.1191948393699104,0.0174896891010895,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.72_307.1550m_z,0.1380807957898231,-0.0210651495957102,0.1591459453855333,0.0001248599051058,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.75_562.3154m_z,0.0781909162725125,0.0041540769365392,0.0740368393359733,0.0364827305740281,3.0517578125e-05,0.0003283323355056,15,853,
Male,male,2,metabolites,Metabolites,4.82_538.3155m_z,0.0837441063213554,-0.0263475856007238,0.1100916919220792,0.0415704345247727,3.0517578125e-05,0.0003283323355056,15,853,
