panel,legend_order,series,series_key,auc_plotted,auc_seed_mean,auc_seed_sd,n_seeds,n_samples,n_subjects,n_male,n_female
a,1,Gait Fusion,ensemble,0.9974845560792368,0.9973340369990958,0.0001667473180011,15,3405,3328,1646,1759
a,2,Treadmill Walk (3 km/h),activity_tm_3kmh,0.9948097198932672,0.994241406778892,0.0002790221404115,15,3189,3118,1567,1622
a,3,Treadmill Walk (Self-Paced),activity_self_selected_gait_speed,0.9944896834860308,0.9938753465251888,0.0002687385581473,15,3257,3181,1585,1672
a,4,Stationary Walking,activity_stationary_walk,0.9928585225267288,0.9922828132078252,0.0003327139818172,15,3395,3320,1643,1752
a,5,Sit-to-Stand,activity_sit_to_stand,0.992217792109678,0.991344407225944,0.000455017873362,15,3396,3320,1644,1752
a,6,Romberg's Test,activity_romberg_closed,0.9793933098933192,0.9784645743766724,0.0004759220520097,15,3387,3311,1641,1746
a,7,Gait Features Baseline,gait,0.9632140691095296,0.9610763241130996,0.0008987102927162,10,2888,2888,1412,1476
