panel,activity,activity_key,auc_plotted,auc_in_legend,auc_sd,accuracy_mean,accuracy_sd,n_seeds,n_folds,n_positive,n_negative
b,Sit to Stand,sit_to_stand,0.9999998669175377,1.0,2.893040044368715e-07,0.9999158122813511,0.00018462234695029402,5,25,3396,13228
b,Romberg Closed,romberg_closed,0.9999682119726155,1.0,7.694718351834045e-05,0.9997354701011752,0.00026520629044940545,5,25,3387,13237
b,Stationary Walking,stationary_walk,0.9997059002816742,0.9997,0.0006002831904931509,0.9998199141558046,0.00022894323844838572,5,25,3395,13229
b,Treadmill 3km/h,tm_3kmh,0.9651137933943756,0.9651,0.0017740689069033941,0.9145442858485866,0.0030121698527756915,5,25,3189,13435
b,Self-Selected Speed,self_selected_gait_speed,0.9633142105157607,0.9633,0.0017300200585089766,0.9116553332906763,0.0037940428554220393,5,25,3257,13367
