activity,fpr,tpr,auc
ensemble,0.0,0.0,0.9973418684444347
ensemble,0.0,0.0005851375073142189,0.9973418684444347
ensemble,0.0,0.3504973668812171,0.9973418684444347
ensemble,0.0005515719801434088,0.3504973668812171,0.9973418684444347
ensemble,0.0005515719801434088,0.6588648332358105,0.9973418684444347
ensemble,0.0011031439602868175,0.6588648332358105,0.9973418684444347
ensemble,0.0011031439602868175,0.8665886483323582,0.9973418684444347
ensemble,0.001654715940430226,0.8665886483323582,0.9973418684444347
ensemble,0.001654715940430226,0.8864833235810415,0.9973418684444347
ensemble,0.002206287920573635,0.8864833235810415,0.9973418684444347
ensemble,0.002206287920573635,0.8899941486249269,0.9973418684444347
ensemble,0.0027578599007170436,0.8899941486249269,0.9973418684444347
ensemble,0.0027578599007170436,0.8911644236395553,0.9973418684444347
ensemble,0.003309431880860452,0.8911644236395553,0.9973418684444347
ensemble,0.003309431880860452,0.8940901111761264,0.9973418684444347
ensemble,0.003861003861003861,0.8940901111761264,0.9973418684444347
ensemble,0.003861003861003861,0.9087185488589818,0.9973418684444347
ensemble,0.00441257584114727,0.9087185488589818,0.9973418684444347
ensemble,0.00441257584114727,0.9280280866003511,0.9973418684444347
ensemble,0.004964147821290678,0.9280280866003511,0.9973418684444347
ensemble,0.004964147821290678,0.9309537741369222,0.9973418684444347
ensemble,0.005515719801434087,0.9309537741369222,0.9973418684444347
ensemble,0.005515719801434087,0.9379754242246928,0.9973418684444347
ensemble,0.006067291781577496,0.9379754242246928,0.9973418684444347
ensemble,0.006067291781577496,0.9391456992393212,0.9973418684444347
ensemble,0.006618863761720904,0.9391456992393212,0.9973418684444347
ensemble,0.006618863761720904,0.9426565242832066,0.9973418684444347
ensemble,0.007170435741864313,0.9426565242832066,0.9973418684444347
ensemble,0.007170435741864313,0.943826799297835,0.9973418684444347
ensemble,0.007722007722007722,0.943826799297835,0.9973418684444347
ensemble,0.007722007722007722,0.946752486834406,0.9973418684444347
ensemble,0.00827357970215113,0.946752486834406,0.9973418684444347
ensemble,0.00827357970215113,0.9496781743709772,0.9973418684444347
ensemble,0.009376723662437948,0.9496781743709772,0.9973418684444347
ensemble,0.009376723662437948,0.9514335868929198,0.9973418684444347
ensemble,0.010479867622724766,0.9514335868929198,0.9973418684444347
ensemble,0.010479867622724766,0.952018724400234,0.9973418684444347
ensemble,0.011031439602868174,0.952018724400234,0.9973418684444347
ensemble,0.011031439602868174,0.9537741369221767,0.9973418684444347
ensemble,0.011583011583011582,0.9537741369221767,0.9973418684444347
ensemble,0.011583011583011582,0.954359274429491,0.9973418684444347
ensemble,0.012134583563154992,0.954359274429491,0.9973418684444347
ensemble,0.012134583563154992,0.957284961966062,0.9973418684444347
ensemble,0.0126861555432984,0.957284961966062,0.9973418684444347
ensemble,0.0126861555432984,0.9584552369806905,0.9973418684444347
