system,label,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,AV. Conduction Disorder,male,1,0.6347442143727162,0.6575822168087698
medical_conditions,AV. Conduction Disorder,male,2,0.6114494518879415,0.7044762484774665
medical_conditions,AV. Conduction Disorder,male,3,0.6782886723507917,0.7285322777101095
medical_conditions,AV. Conduction Disorder,male,4,0.5928745432399513,0.6980816077953715
medical_conditions,AV. Conduction Disorder,male,5,0.5592265529841656,0.6514920828258222
medical_conditions,AV. Conduction Disorder,male,6,0.669305724725944,0.6694579780755177
medical_conditions,AV. Conduction Disorder,male,7,0.6082521315468941,0.6560596833130329
medical_conditions,AV. Conduction Disorder,male,8,0.6531668696711328,0.7107186358099878
medical_conditions,AV. Conduction Disorder,male,9,0.6196711327649208,0.6607795371498173
medical_conditions,Back Pain,male,0,0.5512652990650743,0.5699119416072818
medical_conditions,Back Pain,male,1,0.5504600526127283,0.5751509837098149
medical_conditions,Back Pain,male,2,0.5536365769615532,0.5720189208215489
medical_conditions,Back Pain,male,3,0.5633464659314058,0.5732589015549162
medical_conditions,Back Pain,male,4,0.561679161160444,0.6060838098531537
medical_conditions,Back Pain,male,5,0.5503439587990466,0.5773987575491855
medical_conditions,Back Pain,male,6,0.5443144907310206,0.5753189492274822
medical_conditions,Back Pain,male,7,0.561036940063481,0.5846484457014414
medical_conditions,Back Pain,male,8,0.5630574664377725,0.5645222245550766
medical_conditions,Back Pain,male,9,0.5467697513863331,0.5730217737652682
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,0,0.5,0.6313868613138687
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,1,0.5,0.6100973236009732
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,2,0.5,0.6861313868613139
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,3,0.5,0.6578467153284672
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,4,0.5,0.6049270072992701
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,5,0.5,0.6058394160583942
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,6,0.5,0.5663017031630171
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,7,0.5,0.5094282238442822
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,8,0.5,0.6298661800486618
medications,OTHERPLAINVITAMINPREPARATIONSinATC,male,9,0.5,0.6213503649635037
medications,ADRENERGICSINHALANTS,male,0,0.5,0.546092609166706
medications,ADRENERGICSINHALANTS,male,1,0.5,0.56597107729992
medications,ADRENERGICSINHALANTS,male,2,0.5,0.6021008997126571
medications,ADRENERGICSINHALANTS,male,3,0.5,0.4931932733524895
medications,ADRENERGICSINHALANTS,male,4,0.5,0.5045927740355174
medications,ADRENERGICSINHALANTS,male,5,0.5,0.5846248056903293
medications,ADRENERGICSINHALANTS,male,6,0.5,0.6208959442272364
medications,ADRENERGICSINHALANTS,male,7,0.5,0.5629092279429083
medications,ADRENERGICSINHALANTS,male,8,0.5,0.560648169956192
medications,ADRENERGICSINHALANTS,male,9,0.5,0.4895190541240755
medications,ANTIDEPRESSANTS,male,0,0.5091999475830385,0.5776272074863755
medications,ANTIDEPRESSANTS,male,1,0.5005819824403179,0.5906158222139999
medications,ANTIDEPRESSANTS,male,2,0.5,0.592542916387238
medications,ANTIDEPRESSANTS,male,3,0.5252950381179228,0.590438529550062
medications,ANTIDEPRESSANTS,male,4,0.5079203570520083,0.6034117275243006
medications,ANTIDEPRESSANTS,male,5,0.5250021198035906,0.5649238026963902
medications,ANTIDEPRESSANTS,male,6,0.5,0.5981700313730932
medications,ANTIDEPRESSANTS,male,7,0.5,0.6025715144647689
medications,ANTIDEPRESSANTS,male,8,0.5139714327559759,0.5879024736180807
medications,ANTIDEPRESSANTS,male,9,0.5371736466017621,0.5925968750240886
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,0,0.5747986694677871,0.633797268907563
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,1,0.6201418067226891,0.6972163865546218
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,2,0.5709908963585434,0.6558998599439776
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,3,0.5799632352941178,0.6376050420168067
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,4,0.5976453081232493,0.6368609943977591
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,5,0.620579481792717,0.6807598039215687
medications,ANTIHISTAMINESFORSYSTEMICUSE,male,6,0.6046481092436975,0.7147671568627452
