system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr
proteomics,PTPRR,pearson_r,0.131318712408959,0.0104130253676642,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.1209056870412948,female,regression,0.0358212022502009,0.04730224609375,15,659,,0.2344616462594426
proteomics,PRKRA,pearson_r,-0.0004485456402048,0.0102871386169619,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0107356842571668,male,regression,0.6714463752493031,0.1038818359375,15,659,,0.4182205765335648
proteomics,TSC22D3,pearson_r,-0.0107333823556136,0.0102400940663303,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0209734764219439,female,regression,0.6566659572901465,0.244354248046875,15,659,,1.0
proteomics,GZMA,pearson_r,0.0327948849358763,0.0102069022503744,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0225879826855019,female,regression,0.5177253639898559,0.227142333984375,15,659,,0.9539978027343752
proteomics,PCDHB15,pearson_r,0.0444718671558298,0.0101235219711985,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0343483451846313,male,regression,0.4108013109700221,0.1947021484375,15,659,,0.7361434273097825
proteomics,CLSTN2,pearson_r,0.1030734391790513,0.0100709517138489,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0930024874652023,male,regression,0.0871132283813604,0.1795654296875,15,659,,0.6872803594025088
proteomics,SCN4B,pearson_r,0.0256786721396056,0.009987284624751,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0156913875148545,male,regression,0.5907148496574111,0.210601806640625,15,659,,0.7880349873265383
proteomics,PAPPA,pearson_r,0.0076018076819718,0.0098955316817466,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0022937239997747,male,regression,0.6495166221642364,0.380767822265625,15,659,,1.0
proteomics,EIF4E,pearson_r,0.0568397243366701,0.0096437058212665,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,0.0471960185154036,female,regression,0.3611201108821484,0.28070068359375,15,659,,1.0
proteomics,ANKMY2,pearson_r,0.00816096919141,0.0093413514586118,True,0.0,long_seq,activity_stationary_walk,Age_Gender_BMI_height_VAT,-0.0011803822672018,male,regression,0.6080335068623307,0.4019775390625,15,659,,1.0
