task,feature_set,auc_mean,auc_sd,balanced_accuracy_mean,n_runs,subjects_per_class_min
ASHKENAZI_vs_NAFRICA,age_gender_bmi,0.44731127168599905,0.03410435006372833,0.4699832775919733,20,299.0
ASHKENAZI_vs_NAFRICA,gait_embeddings,0.5286635496247245,0.031959878450878894,0.5177257525083612,20,299.0
ASHKENAZI_vs_NEAREAST,age_gender_bmi,0.44573024793388427,0.03279596512207896,0.4618181818181818,20,275.0
ASHKENAZI_vs_NEAREAST,gait_embeddings,0.5122082644628099,0.02590383678644308,0.5113636363636364,20,275.0
NAFRICA_vs_NEAREAST,age_gender_bmi,0.4389741964689905,0.026290204531365564,0.4632978723404255,20,235.0
NAFRICA_vs_NEAREAST,gait_embeddings,0.48637573562698055,0.0272442508940483,0.4921276595744681,20,235.0
three_way,age_gender_bmi,0.44826105326693827,0.016974886364452824,0.29432624113475175,20,235.0
three_way,gait_embeddings,0.4982218198279765,0.012616855301764532,0.324468085106383,20,235.0
