activity,auc_pooled,auc_seed_mean,auc_seed_sd,n_seeds,n_samples,n_subjects,n_male,n_female
activity_tm_3kmh,0.9948097198932672,0.994241406778892,0.0002790221404115031,15,3189,3118,1567,1622
activity_self_selected_gait_speed,0.9944896834860307,0.9938753465251888,0.0002687385581473248,15,3257,3181,1585,1672
activity_stationary_walk,0.9928585225267288,0.9922828132078252,0.00033271398181722973,15,3395,3320,1643,1752
activity_sit_to_stand,0.9922177921096779,0.9913444072259441,0.0004550178733620441,15,3396,3320,1644,1752
activity_romberg_closed,0.9793933098933192,0.9784645743766723,0.00047592205200974556,15,3387,3311,1641,1746
ensemble,0.9974845560792369,0.9973340369990958,0.00016674731800111513,15,3405,3328,1646,1759
gait,0.9632140691095297,0.9610763241130995,0.0008987102927162214,10,2888,2888,1412,1476
