endpoint,system,gender,top_percent,n_folds,n_mean,n_positive_mean,baseline_auc_selected,gait_auc_selected,delta_auc_selected,auc_selection_fdr,sensitivity_base_top10,sensitivity_gait_top10,delta_sensitivity_top10,fold_change_sensitivity_top10,specificity_base_top10,specificity_gait_top10,delta_specificity_top10,paired_t_pvalue,paired_t_pvalue_fdr,fdr_significant_gain_q_lt_0p1,display_endpoint
PROGESTOGENSEXHORMONESANDMODULATORSOFTHEGENITALSYSTEM,medications,female,10,10,1759.0,21.0,0.4034851224724642,0.6115716304692682,0.208086507996804,0.00537109375,0.04285714285714286,0.02857142857142857,-0.014285714285714287,0.6666666666666666,0.8992520138089757,0.899079401611047,-0.00017261219792863436,0.4961015555245206,0.5236627530536606,False,"Progestogens, sex hormones and modulators of the genital system"
Vitiligo,medical_conditions,male,10,10,1646.0,13.0,0.4196264543784444,0.5663944163944165,0.1467679620159719,0.0052425986842105,0.023076923076923078,0.13846153846153847,0.11538461538461539,6.0,0.8991426821800367,0.9000612369871404,0.0009185548071036775,0.00034226399836478254,0.0020535839901886952,True,Vitiligo
ADRENERGICSINHALANTS,medications,male,10,10,1646.0,13.0,0.3886287625418059,0.5429699088789998,0.1543411463371938,0.0038311298076922997,0.046153846153846156,0.11538461538461538,0.06923076923076922,2.4999999999999996,0.8993263931414575,0.8998775260257194,0.0005511328842618957,0.09465570582843714,0.16226692427732084,False,Adrenergics inhalants
Diabetes,medical_conditions,male,10,10,1646.0,30.0,0.46714418316831685,0.5597752858789116,0.0926311027105947,0.0038311298076922997,0.08,0.14666666666666667,0.06666666666666667,1.8333333333333333,0.8993811881188118,0.9006188118811881,0.0012376237623762387,0.0015498859117018232,0.006199543646807293,True,Diabetes
Depression,medical_conditions,male,10,10,1646.0,40.0,0.5489943960149439,0.6603210933094503,0.1113266972945064,0.0038311298076922997,0.12,0.21749999999999997,0.09749999999999998,1.8124999999999998,0.9002490660024908,0.9026774595267746,0.0024283935242838117,0.0017353674317147733,0.006247322754173184,True,Depression
Psoriasis,medical_conditions,male,10,10,1646.0,42.0,0.4862761251632823,0.5329153812983048,0.04663925613502261,0.0038311298076922997,0.054761904761904755,0.09047619047619046,0.035714285714285705,1.6521739130434783,0.89856608478803,0.899501246882793,0.0009351620947629646,0.009106153759546399,0.027318461278639197,True,Psoriasis
DRUGSFORPEPTICULCERANDGASTROOESOPHAGEALREFLUXDISEASEGORD,medications,male,10,10,1646.0,59.0,0.6244293820933164,0.6793926019335854,0.0549632198402689,0.0045276988636363,0.11166666666666666,0.16999999999999998,0.05833333333333332,1.5223880597014925,0.9001891551071879,0.9023959646910468,0.002206809583858882,0.0002516871658017187,0.0020535839901886952,True,Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
Sleep_disorder_any,medical_conditions_grouped,male,10,10,1646.0,74.0,0.5611882028431996,0.5748415022278802,0.013653299384680701,0.0732421875,0.14,0.2066666666666667,0.06666666666666668,1.4761904761904763,0.901654996817314,0.9048376830044559,0.003182686187141903,1.1683873213483997e-05,0.0004206194356854239,True,Sleep_disorder_any
ANTIDEPRESSANTS,medications,male,10,10,1646.0,82.0,0.5228877120767137,0.5662325581395349,0.043344846062821095,0.0038311298076922997,0.12168674698795182,0.1746987951807229,0.05301204819277108,1.4356435643564356,0.900895713371721,0.9037108125399872,0.0028150991682661664,0.00030985088613392776,0.0020535839901886952,True,Antidepressants
Anal Fissure,medical_conditions,male,10,10,1646.0,88.0,0.4235075692659239,0.5368373109856075,0.1133297417196834,0.0038311298076922997,0.06666666666666668,0.09444444444444444,0.027777777777777762,1.4166666666666663,0.8978149100257069,0.8994215938303342,0.0016066838046272514,0.052177242798819065,0.11514873681176072,False,Anal Fissure
Headache,medical_conditions,male,10,10,1646.0,25.0,0.4761835232668565,0.5884281971898072,0.11224467392295072,0.005859375,0.09615384615384617,0.1346153846153846,0.038461538461538436,1.3999999999999997,0.8996913580246912,0.9003086419753086,0.0006172839506173311,0.06290250798993899,0.11918369934935809,False,Headache
Renal Stones,medical_conditions,male,10,10,1646.0,17.0,0.4715018235655218,0.5378024100818692,0.0663005865163474,0.0191556490384615,0.07647058823529412,0.10588235294117647,0.029411764705882346,1.3846153846153846,0.8995089011663596,0.899815837937385,0.00030693677102533456,0.24433314386747926,0.325777525156639,False,Renal Stones
Fractures,medical_conditions,male,10,10,1646.0,151.0,0.4822022887626914,0.5376240862948907,0.0554217975321993,0.0038311298076922997,0.0737179487179487,0.10192307692307694,0.02820512820512823,1.3826086956521744,0.8969798657718119,0.8999328859060401,0.002953020134228268,0.008110458879867012,0.026543319970473857,True,Fractures
Glaucoma,medical_conditions,male,10,10,1646.0,13.0,0.6333105657355504,0.6763531018889255,0.043042536153375,0.08650287828947359,0.16153846153846155,0.2230769230769231,0.06153846153846154,1.380952380952381,0.900244947948561,0.9007348438456828,0.0004898958971217837,0.05283944651707043,0.11514873681176072,False,Glaucoma
Back Pain,medical_conditions,male,10,10,1646.0,295.0,0.5560560214403043,0.5791628895009201,0.023106868060615703,0.0045276988636363,0.10830564784053157,0.1345514950166113,0.026245847176079723,1.2423312883435582,0.9015613382899629,0.9074349442379182,0.005873605947955274,7.281895744155346e-05,0.0008738274892986414,True,Back Pain
OTHERMINERALSUPPLEMENTSinATC,medications,male,10,10,1646.0,139.0,0.5769419976129211,0.5917042200469246,0.0147622224340034,0.0045276988636363,0.14693877551020407,0.17959183673469387,0.0326530612244898,1.2222222222222223,0.904336224149433,0.9075383589059373,0.0032021347565042158,4.88799624277908e-05,0.0008738274892986414,True,OTHERMINERALSUPPLEMENTSinATC
ANTIHISTAMINESFORSYSTEMICUSE,medications,male,10,10,1646.0,14.0,0.6016806722689074,0.668364650616559,0.0666839783476515,0.0038311298076922997,0.2571428571428572,0.3071428571428571,0.04999999999999993,1.1944444444444442,0.9011029411764706,0.9015318627450981,0.00042892156862750497,0.2569460968200084,0.3303592673400108,False,Antihistamines for systemic use
Haemorrhoids,medical_conditions,male,10,10,1646.0,294.0,0.5352533587608954,0.5470365699873898,0.0117832112264943,0.0047433035714285,0.09475409836065574,0.10918032786885246,0.01442622950819672,1.1522491349480968,0.8985085756897837,0.9017897091722595,0.0032811334824758287,0.0009218490741603937,0.004148320833721772,True,Haemorrhoids
Gastrointestinal_any,medical_conditions_grouped,male,10,10,1646.0,370.0,0.5148014489031745,0.5341745228312014,0.019373073928026795,0.0045276988636363,0.09371727748691099,0.10732984293193717,0.01361256544502619,1.1452513966480449,0.8977848101265822,0.9018987341772151,0.004113924050632933,0.0005995939404413205,0.003083625979412505,True,Gastrointestinal_any
Insomnia,medical_conditions,male,10,10,1646.0,23.0,0.48977202711028955,0.5310954816709292,0.04132345456063959,0.0038311298076922997,0.12173913043478261,0.1391304347826087,0.017391304347826084,1.1428571428571428,0.9000616142945163,0.9003080714725815,0.00024645717806526246,0.462036004631047,0.5735619367833686,False,Insomnia
Peptic Ulcer Disease,medical_conditions,male,10,10,1646.0,28.0,0.500378521314482,0.5748841678232093,0.07450564650872708,0.0047433035714285,0.09655172413793103,0.10689655172413795,0.010344827586206917,1.1071428571428574,0.8996907854050711,0.8998763141620284,0.00018552875695732052,0.6470046758624779,0.7513602687435227,False,Peptic Ulcer Disease
Anemia,medical_conditions,male,10,10,1646.0,31.0,0.4250019361833953,0.5389548417132215,0.11395290552982622,0.0045276988636363,0.053125,0.05625,0.0031250000000000028,1.0588235294117647,0.8988228004956629,0.8988847583643121,6.1957868649265e-05,0.8402276669135291,0.8896528237907956,False,Anemia
Osteoarthritis,medical_conditions,male,10,10,1646.0,27.0,0.6449545901676846,0.6802423241084952,0.03528773394081051,0.010485197368421,0.2074074074074074,0.2111111111111111,0.003703703703703709,1.0178571428571428,0.9015441630636196,0.9016059295861641,6.17665225445263e-05,0.8321269898606535,0.8896528237907956,False,Osteoarthritis
Sleep Apnea,medical_conditions,male,10,10,1646.0,51.0,0.6278086092076054,0.6433737852342503,0.015565176026644801,0.09130859375,0.1846153846153846,0.18461538461538465,5.551115123125783e-17,1.0000000000000002,0.902509410288582,0.902509410288582,0.0,0.9999999999999996,1.0,False,Sleep Apnea
Heart valve disease,medical_conditions,male,10,10,1646.0,23.0,0.48412762195611975,0.5627750939345144,0.0786474719783945,0.0045276988636363,0.07391304347826086,0.07391304347826086,0.0,1.0,0.8993838570548366,0.8993838570548366,0.0,1.0,1.0,False,Heart valve disease
Musculoskeletal_any,medical_conditions_grouped,male,10,10,1646.0,429.0,0.5253957080281502,0.5454186191785578,0.0200229111504076,0.0045276988636363,0.11252847380410022,0.10728929384965831,-0.005239179954441911,0.9534412955465588,0.9042253521126759,0.9023198011599005,-0.0019055509527753367,0.09011205896246997,0.16220170613244594,False,Musculoskeletal_any
Asthma,medical_conditions,male,10,10,1646.0,90.0,0.524038489003142,0.558099528099528,0.034061039096386005,0.0047433035714285,0.11777777777777779,0.11111111111111112,-0.006666666666666668,0.9433962264150944,0.9007712082262211,0.9003856041131104,-0.00038560411311072684,0.5024914360312474,0.6029897232374969,False,Asthma
VITAMINAANDDINCLCOMBINATIONSOFTHETWO,medications,male,10,10,1646.0,157.0,0.6072503866228496,0.6148362491139892,0.0075858624911396,0.0110677083333333,0.16666666666666669,0.15595238095238093,-0.01071428571428576,0.9357142857142855,0.9073071718538568,0.9060893098782138,-0.0012178619756429976,0.057574368405880365,0.11514873681176072,False,Vitamin A and D incl. combinations of the two
IRONANTIANEMICPREPARATIONS,medications,male,10,10,1646.0,21.0,0.45546959706959705,0.5573742540494458,0.10190465697984878,0.0038311298076922997,0.05714285714285714,0.052380952380952375,-0.004761904761904766,0.9166666666666666,0.8991999999999999,0.8991384615384614,-6.153846153844622e-05,0.7803523356242351,0.8778963775772645,False,IRONANTIANEMICPREPARATIONS
Sinusitis,medical_conditions,male,10,10,1646.0,37.0,0.509933986192532,0.6103261418329912,0.1003921556404592,0.0045276988636363,0.16756756756756758,0.15135135135135136,-0.016216216216216217,0.9032258064516129,0.9013051584835301,0.9009322560596644,-0.00037290242386567307,0.19342205960333228,0.2678151594507678,False,Sinusitis
DRUGSAFFECTINGBONESTRUCTUREANDMINERALIZATION,medications,male,10,10,1646.0,11.0,0.7020127884348069,0.7744063492063492,0.07239356077154238,0.0038311298076922997,0.29999999999999993,0.26363636363636356,-0.036363636363636376,0.8787878787878787,0.9011009174311926,0.9008562691131499,-0.00024464831804271725,0.16785065605707492,0.24170494472218787,False,DRUGSAFFECTINGBONESTRUCTUREANDMINERALIZATION
LIPIDMODIFYINGAGENTSCOMBINATIONS,medications,male,10,10,1646.0,40.0,0.6891228206724783,0.7121392133172237,0.0230163926447455,0.0052425986842105,0.2,0.16499999999999998,-0.03500000000000003,0.8249999999999998,0.9022415940224159,0.9013698630136988,-0.0008717310087170693,0.055214533401941594,0.11514873681176072,False,"Lipid modifying agents, combinations"
ASCORBICACIDVITAMINCINCLCOMBINATIONS,medications,male,10,10,1646.0,31.0,0.5735514764565044,0.587636815920398,0.0140853394638935,0.054073660714285696,0.15999999999999998,0.13142857142857142,-0.028571428571428553,0.8214285714285715,0.9010552451893235,0.9004345127250156,-0.0006207324643078271,0.15819542053877858,0.23729313080816786,False,Ascorbic acid vitamin C incl. combinations
VITAMINBn1nPLAINANDINCOMBINATIONWITHVITAMINBn6nANDBn12n,medications,male,10,10,1646.0,12.0,0.5859350091968116,0.6714058379558061,0.08547082875899428,0.0038311298076922997,0.2,0.16,-0.04000000000000001,0.7999999999999999,0.9006744328632742,0.9003065603923973,-0.00036787247087688435,0.14045297087829434,0.2198394326790694,False,VITAMINBn1nPLAINANDINCOMBINATIONWITHVITAMINBn6nANDBn12n
B12 Deficiency,medical_conditions,male,10,10,1646.0,53.0,0.5434231805929918,0.5613050229543612,0.0178818423613695,0.02178955078125,0.1285714285714286,0.09642857142857142,-0.03214285714285717,0.7499999999999999,0.9007547169811321,0.8996226415094339,-0.0011320754716981352,0.011953286996060856,0.03310141014293776,False,B12 Deficiency
DRUGSUSEDINBENIGNPROSTATICHYPERTROPHY,medications,male,10,10,1646.0,38.0,0.560773379286136,0.5998833772665548,0.0391099979804188,0.0047433035714285,0.19743589743589746,0.14102564102564102,-0.05641025641025643,0.7142857142857142,0.9021157436216554,0.9007467330429371,-0.0013690105787182993,0.019065356473909063,0.04902520236148045,False,DRUGSUSEDINBENIGNPROSTATICHYPERTROPHY
HYPNOTICSANDSEDATIVES,medications,male,10,10,1646.0,22.0,0.39614587998208683,0.5256611825481496,0.1295153025660629,0.005859375,0.05454545454545454,0.02727272727272727,-0.02727272727272727,0.5,0.8991379310344827,0.898768472906404,-0.000369458128078648,0.11137324638262758,0.18224713044429966,False,Hypnotics and sedatives
