target,activity,gender,metric,source,seed,value
age,activity_romberg_closed,all,pearson_r,embeddings,2,0.4048048392391657
age,activity_romberg_closed,all,pearson_r,embeddings,3,0.4058217857230154
age,activity_romberg_closed,all,pearson_r,embeddings,4,0.4039578852230565
age,activity_romberg_closed,all,pearson_r,embeddings,5,0.4083862321497207
age,activity_romberg_closed,all,pearson_r,embeddings,6,0.4097815635987329
age,activity_romberg_closed,all,pearson_r,embeddings,7,0.4039787174520094
age,activity_romberg_closed,all,pearson_r,embeddings,8,0.4070174815232641
age,activity_romberg_closed,all,pearson_r,embeddings,9,0.4087042983132148
age,activity_romberg_closed,all,pearson_r,embeddings,10,0.409085882367756
age,activity_romberg_closed,all,pearson_r,embeddings,11,0.4109319522283463
age,activity_romberg_closed,all,pearson_r,embeddings,12,0.4122000260647393
age,activity_romberg_closed,all,pearson_r,embeddings,13,0.4102273792272993
age,activity_romberg_closed,all,pearson_r,embeddings,14,0.4117590689062665
age,ensemble,male,pearson_r,embeddings,0,0.7021850475887155
age,ensemble,male,pearson_r,embeddings,1,0.7019320206493875
age,ensemble,male,pearson_r,embeddings,2,0.7016139668211736
age,ensemble,male,pearson_r,embeddings,3,0.6995079694697861
age,ensemble,male,pearson_r,embeddings,4,0.6969389889602363
age,ensemble,male,pearson_r,embeddings,5,0.7084210386805071
age,ensemble,male,pearson_r,embeddings,6,0.7015049681807526
age,ensemble,male,pearson_r,embeddings,7,0.7014727699099969
age,ensemble,male,pearson_r,embeddings,8,0.7002872827948404
age,ensemble,male,pearson_r,embeddings,9,0.7044761753849911
age,ensemble,male,pearson_r,embeddings,10,0.7038002605898152
age,ensemble,male,pearson_r,embeddings,11,0.7032736273937487
age,ensemble,male,pearson_r,embeddings,12,0.697320330697178
age,ensemble,male,pearson_r,embeddings,13,0.7044510074035563
age,ensemble,male,pearson_r,embeddings,14,0.7031688787907834
age,activity_tm_3kmh,male,pearson_r,embeddings,0,0.641849319992259
age,activity_tm_3kmh,male,pearson_r,embeddings,1,0.6389289664656955
age,activity_tm_3kmh,male,pearson_r,embeddings,2,0.6389152021748293
age,activity_tm_3kmh,male,pearson_r,embeddings,3,0.6428733778140171
age,activity_tm_3kmh,male,pearson_r,embeddings,4,0.6368207164374646
age,activity_tm_3kmh,male,pearson_r,embeddings,5,0.6475474764641516
age,activity_tm_3kmh,male,pearson_r,embeddings,6,0.6448305085031616
age,activity_tm_3kmh,male,pearson_r,embeddings,7,0.6419626302595124
age,activity_tm_3kmh,male,pearson_r,embeddings,8,0.6420020844492476
age,activity_tm_3kmh,male,pearson_r,embeddings,9,0.6495480770165359
age,activity_tm_3kmh,male,pearson_r,embeddings,10,0.6476601846432387
age,activity_tm_3kmh,male,pearson_r,embeddings,11,0.6458302633761622
age,activity_tm_3kmh,male,pearson_r,embeddings,12,0.6361060769347378
age,activity_tm_3kmh,male,pearson_r,embeddings,13,0.6503983514387148
age,activity_tm_3kmh,male,pearson_r,embeddings,14,0.6505291180601653
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,0,0.6423138980341637
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,1,0.6343765722041549
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,2,0.6373980741831056
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,3,0.6330550074795844
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,4,0.6360847822000517
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,5,0.6445419364143562
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,6,0.6399405567962445
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,7,0.6386288943247103
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,8,0.6349898174292319
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,9,0.6489248366857181
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,10,0.6492608945071112
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,11,0.6376875292090101
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,12,0.6337078620287367
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,13,0.6425042468923217
age,activity_self_selected_gait_speed,male,pearson_r,embeddings,14,0.6423863869002152
age,activity_stationary_walk,male,pearson_r,embeddings,0,0.5859825835640226
age,activity_stationary_walk,male,pearson_r,embeddings,1,0.5866889793189953
age,activity_stationary_walk,male,pearson_r,embeddings,2,0.582535403555751
age,activity_stationary_walk,male,pearson_r,embeddings,3,0.5870509749980002
age,activity_stationary_walk,male,pearson_r,embeddings,4,0.5766269421219842
age,activity_stationary_walk,male,pearson_r,embeddings,5,0.5884046193611139
age,activity_stationary_walk,male,pearson_r,embeddings,6,0.580034600994457
age,activity_stationary_walk,male,pearson_r,embeddings,7,0.5855165336556214
age,activity_stationary_walk,male,pearson_r,embeddings,8,0.587787708715839
age,activity_stationary_walk,male,pearson_r,embeddings,9,0.586771996644917
age,activity_stationary_walk,male,pearson_r,embeddings,10,0.5796983042302569
age,activity_stationary_walk,male,pearson_r,embeddings,11,0.5823514606562428
age,activity_stationary_walk,male,pearson_r,embeddings,12,0.5861064929508227
age,activity_stationary_walk,male,pearson_r,embeddings,13,0.5849640362298602
age,activity_stationary_walk,male,pearson_r,embeddings,14,0.5853669766818471
age,activity_sit_to_stand,male,pearson_r,embeddings,0,0.5069805675936564
age,activity_sit_to_stand,male,pearson_r,embeddings,1,0.5170113761279695
age,activity_sit_to_stand,male,pearson_r,embeddings,2,0.5157815091052532
age,activity_sit_to_stand,male,pearson_r,embeddings,3,0.510900659667633
age,activity_sit_to_stand,male,pearson_r,embeddings,4,0.5121898944197087
age,activity_sit_to_stand,male,pearson_r,embeddings,5,0.5220261356756842
age,activity_sit_to_stand,male,pearson_r,embeddings,6,0.5035637333071937
age,activity_sit_to_stand,male,pearson_r,embeddings,7,0.5103662984469435
age,activity_sit_to_stand,male,pearson_r,embeddings,8,0.5096861153585678
age,activity_sit_to_stand,male,pearson_r,embeddings,9,0.5151837342477109
age,activity_sit_to_stand,male,pearson_r,embeddings,10,0.5189633609279585
age,activity_sit_to_stand,male,pearson_r,embeddings,11,0.5167236544444651
age,activity_sit_to_stand,male,pearson_r,embeddings,12,0.5041944889973102
age,activity_sit_to_stand,male,pearson_r,embeddings,13,0.5148451022095839
age,activity_sit_to_stand,male,pearson_r,embeddings,14,0.5066248515157376
age,activity_romberg_closed,male,pearson_r,embeddings,0,0.3997342183295915
age,activity_romberg_closed,male,pearson_r,embeddings,1,0.4062260368820013
age,activity_romberg_closed,male,pearson_r,embeddings,2,0.4042931954620057
age,activity_romberg_closed,male,pearson_r,embeddings,3,0.40145387442019
age,activity_romberg_closed,male,pearson_r,embeddings,4,0.3980638059721523
age,activity_romberg_closed,male,pearson_r,embeddings,5,0.4047178969664117
age,activity_romberg_closed,male,pearson_r,embeddings,6,0.4001379784154119
age,activity_romberg_closed,male,pearson_r,embeddings,7,0.3963636296290689
age,activity_romberg_closed,male,pearson_r,embeddings,8,0.4040915799917278
age,activity_romberg_closed,male,pearson_r,embeddings,9,0.4066577968968605
age,activity_romberg_closed,male,pearson_r,embeddings,10,0.4009989235899575
age,activity_romberg_closed,male,pearson_r,embeddings,11,0.4153611540169354
age,activity_romberg_closed,male,pearson_r,embeddings,12,0.4047756848050761
age,activity_romberg_closed,male,pearson_r,embeddings,13,0.4012210512368373
age,activity_romberg_closed,male,pearson_r,embeddings,14,0.4006464339174882
age,ensemble,female,pearson_r,embeddings,0,0.6785219647522304
age,ensemble,female,pearson_r,embeddings,1,0.6772232074266137
age,ensemble,female,pearson_r,embeddings,2,0.6697700916572753
age,ensemble,female,pearson_r,embeddings,3,0.6728840018187919
age,ensemble,female,pearson_r,embeddings,4,0.6797837194091334
age,ensemble,female,pearson_r,embeddings,5,0.6748983072764987
age,ensemble,female,pearson_r,embeddings,6,0.6741454404532932
age,ensemble,female,pearson_r,embeddings,7,0.6747950783912072
age,ensemble,female,pearson_r,embeddings,8,0.6748600061496216
age,ensemble,female,pearson_r,embeddings,9,0.6758915769052077
age,ensemble,female,pearson_r,embeddings,10,0.679028982074366
age,ensemble,female,pearson_r,embeddings,11,0.6752318493949917
age,ensemble,female,pearson_r,embeddings,12,0.6768686221858737
age,ensemble,female,pearson_r,embeddings,13,0.6806748502542445
age,ensemble,female,pearson_r,embeddings,14,0.6794454885876283
age,activity_tm_3kmh,female,pearson_r,embeddings,0,0.6129832489728144
age,activity_tm_3kmh,female,pearson_r,embeddings,1,0.6052620141996921
age,activity_tm_3kmh,female,pearson_r,embeddings,2,0.6012314430038772
age,activity_tm_3kmh,female,pearson_r,embeddings,3,0.600936075084077
age,activity_tm_3kmh,female,pearson_r,embeddings,4,0.6039994974407266
age,activity_tm_3kmh,female,pearson_r,embeddings,5,0.600522302199855
age,activity_tm_3kmh,female,pearson_r,embeddings,6,0.601613121226834
age,activity_tm_3kmh,female,pearson_r,embeddings,7,0.6022377782821119
age,activity_tm_3kmh,female,pearson_r,embeddings,8,0.6057238069787246
age,activity_tm_3kmh,female,pearson_r,embeddings,9,0.6046841926500937
age,activity_tm_3kmh,female,pearson_r,embeddings,10,0.6074278292600402
age,activity_tm_3kmh,female,pearson_r,embeddings,11,0.6090255445286232
age,activity_tm_3kmh,female,pearson_r,embeddings,12,0.6034022536976898
age,activity_tm_3kmh,female,pearson_r,embeddings,13,0.605111529511663
age,activity_tm_3kmh,female,pearson_r,embeddings,14,0.6110237012095127
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,0,0.5852920160052445
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,1,0.5788312552305656
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,2,0.5846764868248456
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,3,0.5752609842304369
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,4,0.5807650018039124
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,5,0.5809017959862101
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,6,0.5753869074938293
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,7,0.5801243689934915
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,8,0.5804381469273558
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,9,0.5837015303302155
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,10,0.5813547473563588
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,11,0.5860769488423735
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,12,0.5755557192837149
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,13,0.5848700118471417
age,activity_self_selected_gait_speed,female,pearson_r,embeddings,14,0.5841208576005021
age,activity_stationary_walk,female,pearson_r,embeddings,0,0.567905965970222
age,activity_stationary_walk,female,pearson_r,embeddings,1,0.5637448503584388
age,activity_stationary_walk,female,pearson_r,embeddings,2,0.5604496792164749
age,activity_stationary_walk,female,pearson_r,embeddings,3,0.5603385553028043
age,activity_stationary_walk,female,pearson_r,embeddings,4,0.5696949369062053
age,activity_stationary_walk,female,pearson_r,embeddings,5,0.5649721065888307
age,activity_stationary_walk,female,pearson_r,embeddings,6,0.562017567912725
age,activity_stationary_walk,female,pearson_r,embeddings,7,0.5584048406884601
age,activity_stationary_walk,female,pearson_r,embeddings,8,0.5645615603259899
age,activity_stationary_walk,female,pearson_r,embeddings,9,0.5648517930337477
age,activity_stationary_walk,female,pearson_r,embeddings,10,0.5639199141963646
age,activity_stationary_walk,female,pearson_r,embeddings,11,0.5606703116726252
age,activity_stationary_walk,female,pearson_r,embeddings,12,0.5673233363039133
age,activity_stationary_walk,female,pearson_r,embeddings,13,0.5654724732773875
age,activity_stationary_walk,female,pearson_r,embeddings,14,0.5666778757846666
age,activity_sit_to_stand,female,pearson_r,embeddings,0,0.4914291585551275
age,activity_sit_to_stand,female,pearson_r,embeddings,1,0.4947582676885204
age,activity_sit_to_stand,female,pearson_r,embeddings,2,0.4810089040482608
age,activity_sit_to_stand,female,pearson_r,embeddings,3,0.4864287352289804
age,activity_sit_to_stand,female,pearson_r,embeddings,4,0.5000940646380844
age,activity_sit_to_stand,female,pearson_r,embeddings,5,0.495343741262212
age,activity_sit_to_stand,female,pearson_r,embeddings,6,0.4882451012586749
age,activity_sit_to_stand,female,pearson_r,embeddings,7,0.4922755779114585
age,activity_sit_to_stand,female,pearson_r,embeddings,8,0.4852210580361382
age,activity_sit_to_stand,female,pearson_r,embeddings,9,0.4937165683952813
age,activity_sit_to_stand,female,pearson_r,embeddings,10,0.5012250661854751
age,activity_sit_to_stand,female,pearson_r,embeddings,11,0.4959926729761019
age,activity_sit_to_stand,female,pearson_r,embeddings,12,0.4882619414745929
age,activity_sit_to_stand,female,pearson_r,embeddings,13,0.4974520951087774
age,activity_sit_to_stand,female,pearson_r,embeddings,14,0.4926291722177466
age,activity_romberg_closed,female,pearson_r,embeddings,0,0.4101016631158088
age,activity_romberg_closed,female,pearson_r,embeddings,1,0.405933183235434
age,activity_romberg_closed,female,pearson_r,embeddings,2,0.4013312103703861
age,activity_romberg_closed,female,pearson_r,embeddings,3,0.4058815246209356
age,activity_romberg_closed,female,pearson_r,embeddings,4,0.4054392229915632
age,activity_romberg_closed,female,pearson_r,embeddings,5,0.4078283737503982
age,activity_romberg_closed,female,pearson_r,embeddings,6,0.4146985608519388
age,activity_romberg_closed,female,pearson_r,embeddings,7,0.40705053319248
age,activity_romberg_closed,female,pearson_r,embeddings,8,0.4057677205180469
age,activity_romberg_closed,female,pearson_r,embeddings,9,0.4066568427710919
age,activity_romberg_closed,female,pearson_r,embeddings,10,0.4125026737851966
age,activity_romberg_closed,female,pearson_r,embeddings,11,0.4030750719841612
age,activity_romberg_closed,female,pearson_r,embeddings,12,0.4153657579506934
age,activity_romberg_closed,female,pearson_r,embeddings,13,0.4144740114389211
age,activity_romberg_closed,female,pearson_r,embeddings,14,0.4180251652371913
bmi,ensemble,all,pearson_r,embeddings,0,0.9087019842969716
bmi,ensemble,all,pearson_r,embeddings,1,0.9071589290906226
bmi,ensemble,all,pearson_r,embeddings,2,0.906967634613356
bmi,ensemble,all,pearson_r,embeddings,3,0.907168201378158
bmi,ensemble,all,pearson_r,embeddings,4,0.905905547959294
bmi,ensemble,all,pearson_r,embeddings,5,0.905788289502308
bmi,ensemble,all,pearson_r,embeddings,6,0.9076834586542916
bmi,ensemble,all,pearson_r,embeddings,7,0.9047949348926309
bmi,ensemble,all,pearson_r,embeddings,8,0.9051369716398048
bmi,ensemble,all,pearson_r,embeddings,9,0.9072677700143972
