target,setting,source,model,gender,metric,seed,value
liver_elasticity,full,demo,lgbm,overall,pearson_r,3,0.03997047305496701
liver_elasticity,full,demo,lgbm,overall,pearson_r,4,0.05409207403188503
liver_elasticity,full,demo,lgbm,overall,pearson_r,5,0.03810733898476991
liver_elasticity,full,demo,lgbm,overall,pearson_r,6,0.05629236637478779
liver_elasticity,full,demo,lgbm,overall,pearson_r,7,0.0494692735266724
liver_elasticity,full,demo,lgbm,overall,pearson_r,8,0.04782548832546132
liver_elasticity,full,demo,lgbm,overall,pearson_r,9,0.0485870748186734
liver_elasticity,full,demo,lgbm,overall,pearson_r,10,0.04166943366121835
liver_elasticity,full,demo,lgbm,overall,pearson_r,11,0.05998112822630306
liver_elasticity,full,demo,lgbm,overall,pearson_r,12,0.043522971175141534
liver_elasticity,full,demo,lgbm,overall,pearson_r,13,0.043519538356946226
liver_elasticity,full,demo,lgbm,overall,pearson_r,14,0.037519862340635625
liver_elasticity,full,demo,ridge,male,pearson_r,0,0.10570403570616363
liver_elasticity,full,demo,ridge,male,pearson_r,1,0.09299545903759625
liver_elasticity,full,demo,ridge,male,pearson_r,2,0.09717992471642255
liver_elasticity,full,demo,ridge,male,pearson_r,3,0.09263727650462178
liver_elasticity,full,demo,ridge,male,pearson_r,4,0.09093868639569955
liver_elasticity,full,demo,ridge,male,pearson_r,5,0.09212077101643788
liver_elasticity,full,demo,ridge,male,pearson_r,6,0.09891206468531942
liver_elasticity,full,demo,ridge,male,pearson_r,7,0.09127699653755884
liver_elasticity,full,demo,ridge,male,pearson_r,8,0.08966988440149425
liver_elasticity,full,demo,ridge,male,pearson_r,9,0.08441016554353772
liver_elasticity,full,demo,ridge,male,pearson_r,10,0.07750603579768563
liver_elasticity,full,demo,ridge,male,pearson_r,11,0.08419748212025321
liver_elasticity,full,demo,ridge,male,pearson_r,12,0.0807349521942005
liver_elasticity,full,demo,ridge,male,pearson_r,13,0.08729044208245351
liver_elasticity,full,demo,ridge,male,pearson_r,14,0.07162273635650218
liver_elasticity,full,demo,ridge,female,pearson_r,0,0.09992800257840359
liver_elasticity,full,demo,ridge,female,pearson_r,1,0.09581204624620163
liver_elasticity,full,demo,ridge,female,pearson_r,2,0.10380692636736014
liver_elasticity,full,demo,ridge,female,pearson_r,3,0.08400835278744151
liver_elasticity,full,demo,ridge,female,pearson_r,4,0.08620991325038332
liver_elasticity,full,demo,ridge,female,pearson_r,5,0.09788660515130526
liver_elasticity,full,demo,ridge,female,pearson_r,6,0.09227921640388967
liver_elasticity,full,demo,ridge,female,pearson_r,7,0.09046218896414067
liver_elasticity,full,demo,ridge,female,pearson_r,8,0.1035794860613091
liver_elasticity,full,demo,ridge,female,pearson_r,9,0.08708791697481941
liver_elasticity,full,demo,ridge,female,pearson_r,10,0.10472171703091641
liver_elasticity,full,demo,ridge,female,pearson_r,11,0.10136999254668394
liver_elasticity,full,demo,ridge,female,pearson_r,12,0.09030963595574326
liver_elasticity,full,demo,ridge,female,pearson_r,13,0.09457491907746421
liver_elasticity,full,demo,ridge,female,pearson_r,14,0.09864049018748694
liver_elasticity,full,demo,ridge,overall,pearson_r,0,0.047957404192451945
liver_elasticity,full,demo,ridge,overall,pearson_r,1,0.04111341553405748
liver_elasticity,full,demo,ridge,overall,pearson_r,2,0.04519130665467599
liver_elasticity,full,demo,ridge,overall,pearson_r,3,0.03396431581969508
liver_elasticity,full,demo,ridge,overall,pearson_r,4,0.034577752592089374
liver_elasticity,full,demo,ridge,overall,pearson_r,5,0.039819189649505954
liver_elasticity,full,demo,ridge,overall,pearson_r,6,0.04093635442707275
liver_elasticity,full,demo,ridge,overall,pearson_r,7,0.037344192947201586
liver_elasticity,full,demo,ridge,overall,pearson_r,8,0.04166136929270576
liver_elasticity,full,demo,ridge,overall,pearson_r,9,0.035687341437653564
liver_elasticity,full,demo,ridge,overall,pearson_r,10,0.03580838959533936
liver_elasticity,full,demo,ridge,overall,pearson_r,11,0.03966741477023486
liver_elasticity,full,demo,ridge,overall,pearson_r,12,0.03512807664036651
liver_elasticity,full,demo,ridge,overall,pearson_r,13,0.03721522017886612
liver_elasticity,full,demo,ridge,overall,pearson_r,14,0.03446723062915576
liver_elasticity,full,clinical,lgbm,male,pearson_r,0,0.16229196531232334
liver_elasticity,full,clinical,lgbm,male,pearson_r,1,0.14352222231931525
liver_elasticity,full,clinical,lgbm,male,pearson_r,2,0.15940801252298128
liver_elasticity,full,clinical,lgbm,male,pearson_r,3,0.1383289774152128
liver_elasticity,full,clinical,lgbm,male,pearson_r,4,0.14635571937608252
liver_elasticity,full,clinical,lgbm,male,pearson_r,5,0.16251214380765178
liver_elasticity,full,clinical,lgbm,male,pearson_r,6,0.14556163745641304
liver_elasticity,full,clinical,lgbm,male,pearson_r,7,0.14652907387478276
liver_elasticity,full,clinical,lgbm,male,pearson_r,8,0.15499060264299744
liver_elasticity,full,clinical,lgbm,male,pearson_r,9,0.1496048166422732
liver_elasticity,full,clinical,lgbm,male,pearson_r,10,0.13890568736330572
liver_elasticity,full,clinical,lgbm,male,pearson_r,11,0.14833456983023793
liver_elasticity,full,clinical,lgbm,male,pearson_r,12,0.15370997853325613
liver_elasticity,full,clinical,lgbm,male,pearson_r,13,0.12602477296065018
liver_elasticity,full,clinical,lgbm,male,pearson_r,14,0.14705947107497336
liver_elasticity,full,clinical,lgbm,female,pearson_r,0,0.14945300955871732
liver_elasticity,full,clinical,lgbm,female,pearson_r,1,0.14768222819085813
liver_elasticity,full,clinical,lgbm,female,pearson_r,2,0.1529169197056555
liver_elasticity,full,clinical,lgbm,female,pearson_r,3,0.1387322471505759
