"Step","26 joints more subjects - loss_3d_pos","26 joints more subjects - loss_3d_pos__MIN","26 joints more subjects - loss_3d_pos__MAX"
"4","0.5297170281410217","0.5297170281410217","0.5297170281410217"
"15","0.537294328212738","0.537294328212738","0.537294328212738"
"18","0.5151083469390869","0.5151083469390869","0.5151083469390869"
"34","0.5038447976112366","0.5038447976112366","0.5038447976112366"
"74","0.19812868535518646","0.19812868535518646","0.19812868535518646"
"115","0.18189609050750732","0.18189609050750732","0.18189609050750732"
"120","0.16096721589565277","0.16096721589565277","0.16096721589565277"
"123","0.1553206443786621","0.1553206443786621","0.1553206443786621"
"125","0.15916164219379425","0.15916164219379425","0.15916164219379425"
"139","0.1683887243270874","0.1683887243270874","0.1683887243270874"
"145","0.15998664498329163","0.15998664498329163","0.15998664498329163"
"149","0.1538507640361786","0.1538507640361786","0.1538507640361786"
"158","0.14938345551490784","0.14938345551490784","0.14938345551490784"
"191","0.11546959728002548","0.11546959728002548","0.11546959728002548"
"203","0.11882854253053665","0.11882854253053665","0.11882854253053665"
"206","0.10557668656110764","0.10557668656110764","0.10557668656110764"
"213","0.11456229537725449","0.11456229537725449","0.11456229537725449"
"221","0.09710853546857834","0.09710853546857834","0.09710853546857834"
"241","0.12154418230056763","0.12154418230056763","0.12154418230056763"
"258","0.10507990419864655","0.10507990419864655","0.10507990419864655"
"259","0.12171877920627594","0.12171877920627594","0.12171877920627594"
"271","0.0938199907541275","0.0938199907541275","0.0938199907541275"
"282","0.09386177361011505","0.09386177361011505","0.09386177361011505"
"305","0.10197880119085312","0.10197880119085312","0.10197880119085312"
"309","0.10723339021205902","0.10723339021205902","0.10723339021205902"
"347","0.10448294878005981","0.10448294878005981","0.10448294878005981"
"353","0.10643685609102249","0.10643685609102249","0.10643685609102249"
"358","0.0969318300485611","0.0969318300485611","0.0969318300485611"
"362","0.09570393711328506","0.09570393711328506","0.09570393711328506"
"387","0.12564265727996826","0.12564265727996826","0.12564265727996826"
"393","0.09563130885362625","0.09563130885362625","0.09563130885362625"
"394","0.09437770396471024","0.09437770396471024","0.09437770396471024"
"407","0.09862704575061798","0.09862704575061798","0.09862704575061798"
"413","0.09177998453378677","0.09177998453378677","0.09177998453378677"
"445","0.0777578204870224","0.0777578204870224","0.0777578204870224"
"459","0.08312562108039856","0.08312562108039856","0.08312562108039856"
"469","0.09331691265106201","0.09331691265106201","0.09331691265106201"
"471","0.08478430658578873","0.08478430658578873","0.08478430658578873"
"483","0.08735290169715881","0.08735290169715881","0.08735290169715881"
"487","0.09769529849290848","0.09769529849290848","0.09769529849290848"
"492","0.06780929863452911","0.06780929863452911","0.06780929863452911"
"503","0.07272785902023315","0.07272785902023315","0.07272785902023315"
"504","0.0955960750579834","0.0955960750579834","0.0955960750579834"
"507","0.08581885695457458","0.08581885695457458","0.08581885695457458"
"522","0.08327491581439972","0.08327491581439972","0.08327491581439972"
"528","0.08344291150569916","0.08344291150569916","0.08344291150569916"
"532","0.07577632367610931","0.07577632367610931","0.07577632367610931"
"543","0.07873764634132385","0.07873764634132385","0.07873764634132385"
"555","0.06977497041225433","0.06977497041225433","0.06977497041225433"
"572","0.07807639241218567","0.07807639241218567","0.07807639241218567"
"579","0.0750877782702446","0.0750877782702446","0.0750877782702446"
"580","0.05985359102487564","0.05985359102487564","0.05985359102487564"
"583","0.061931733042001724","0.061931733042001724","0.061931733042001724"
"591","0.06195027381181717","0.06195027381181717","0.06195027381181717"
"594","0.06260605156421661","0.06260605156421661","0.06260605156421661"
"609","0.05762791261076927","0.05762791261076927","0.05762791261076927"
"616","0.07749050855636597","0.07749050855636597","0.07749050855636597"
"644","0.045960262417793274","0.045960262417793274","0.045960262417793274"
"663","0.0562119334936142","0.0562119334936142","0.0562119334936142"
"668","0.049372151494026184","0.049372151494026184","0.049372151494026184"
"670","0.06461397558450699","0.06461397558450699","0.06461397558450699"
"704","0.055161312222480774","0.055161312222480774","0.055161312222480774"
"711","0.056719668209552765","0.056719668209552765","0.056719668209552765"
"715","0.046779122203588486","0.046779122203588486","0.046779122203588486"
"718","0.06248443201184273","0.06248443201184273","0.06248443201184273"
"723","0.056759294122457504","0.056759294122457504","0.056759294122457504"
"751","0.05603279545903206","0.05603279545903206","0.05603279545903206"
"752","0.06037766486406326","0.06037766486406326","0.06037766486406326"
"755","0.048886097967624664","0.048886097967624664","0.048886097967624664"
"763","0.05439213663339615","0.05439213663339615","0.05439213663339615"
"771","0.052716318517923355","0.052716318517923355","0.052716318517923355"
"796","0.04928022250533104","0.04928022250533104","0.04928022250533104"
"817","0.04724003002047539","0.04724003002047539","0.04724003002047539"
"842","0.05418016016483307","0.05418016016483307","0.05418016016483307"
"844","0.0487557016313076","0.0487557016313076","0.0487557016313076"
"851","0.04946513473987579","0.04946513473987579","0.04946513473987579"
"853","0.05897482857108116","0.05897482857108116","0.05897482857108116"
"870","0.055537547916173935","0.055537547916173935","0.055537547916173935"
"875","0.04725250229239464","0.04725250229239464","0.04725250229239464"
"876","0.046355295926332474","0.046355295926332474","0.046355295926332474"
"881","0.046415701508522034","0.046415701508522034","0.046415701508522034"
"894","0.05249463766813278","0.05249463766813278","0.05249463766813278"
"914","0.05515998229384422","0.05515998229384422","0.05515998229384422"
"951","0.04632682353258133","0.04632682353258133","0.04632682353258133"
"954","0.05959853529930115","0.05959853529930115","0.05959853529930115"
"960","0.04266847297549248","0.04266847297549248","0.04266847297549248"
"982","0.05831284075975418","0.05831284075975418","0.05831284075975418"
"1032","0.054459262639284134","0.054459262639284134","0.054459262639284134"
"1047","0.05905429273843765","0.05905429273843765","0.05905429273843765"
"1051","0.05059364065527916","0.05059364065527916","0.05059364065527916"
"1077","0.04631975293159485","0.04631975293159485","0.04631975293159485"
"1085","0.039314329624176025","0.039314329624176025","0.039314329624176025"
"1111","0.050188470631837845","0.050188470631837845","0.050188470631837845"
"1114","0.05041506886482239","0.05041506886482239","0.05041506886482239"
"1119","0.04973708465695381","0.04973708465695381","0.04973708465695381"
"1121","0.04750324413180351","0.04750324413180351","0.04750324413180351"
"1138","0.04457617551088333","0.04457617551088333","0.04457617551088333"
"1160","0.05180356279015541","0.05180356279015541","0.05180356279015541"
"1167","0.05681162327528","0.05681162327528","0.05681162327528"
"1176","0.05512310937047005","0.05512310937047005","0.05512310937047005"
"1179","0.049597062170505524","0.049597062170505524","0.049597062170505524"
"1188","0.04825345426797867","0.04825345426797867","0.04825345426797867"
"1191","0.044481463730335236","0.044481463730335236","0.044481463730335236"
"1203","0.04614311084151268","0.04614311084151268","0.04614311084151268"
"1205","0.04497423768043518","0.04497423768043518","0.04497423768043518"
"1232","0.043823275715112686","0.043823275715112686","0.043823275715112686"
"1234","0.043119724839925766","0.043119724839925766","0.043119724839925766"
"1249","0.0436587892472744","0.0436587892472744","0.0436587892472744"
"1258","0.041131068021059036","0.041131068021059036","0.041131068021059036"
"1271","0.045032650232315063","0.045032650232315063","0.045032650232315063"
"1278","0.042594943195581436","0.042594943195581436","0.042594943195581436"
"1311","0.03775164112448692","0.03775164112448692","0.03775164112448692"
"1312","0.03960853070020676","0.03960853070020676","0.03960853070020676"
"1315","0.03919709473848343","0.03919709473848343","0.03919709473848343"
"1324","0.03906412422657013","0.03906412422657013","0.03906412422657013"
"1328","0.038827504962682724","0.038827504962682724","0.038827504962682724"
"1336","0.03544306382536888","0.03544306382536888","0.03544306382536888"
"1337","0.05000514164566994","0.05000514164566994","0.05000514164566994"
"1343","0.04152025282382965","0.04152025282382965","0.04152025282382965"
"1355","0.04118771106004715","0.04118771106004715","0.04118771106004715"
"1356","0.036657076328992844","0.036657076328992844","0.036657076328992844"
"1360","0.04865144193172455","0.04865144193172455","0.04865144193172455"
"1368","0.038811564445495605","0.038811564445495605","0.038811564445495605"
"1395","0.048135071992874146","0.048135071992874146","0.048135071992874146"
"1404","0.040242839604616165","0.040242839604616165","0.040242839604616165"
"1421","0.04054437205195427","0.04054437205195427","0.04054437205195427"
"1436","0.04227752983570099","0.04227752983570099","0.04227752983570099"
"1443","0.040452342480421066","0.040452342480421066","0.040452342480421066"
"1444","0.04062624275684357","0.04062624275684357","0.04062624275684357"
"1445","0.044798288494348526","0.044798288494348526","0.044798288494348526"
"1467","0.04303610324859619","0.04303610324859619","0.04303610324859619"
"1473","0.03810688853263855","0.03810688853263855","0.03810688853263855"
"1483","0.03978990763425827","0.03978990763425827","0.03978990763425827"
"1496","0.03964316472411156","0.03964316472411156","0.03964316472411156"
