target,activity,gender,metric,mean,std
age,ensemble,all,pearson_r,0.6868139407031124,0.00126892291774802
age,ensemble,male,pearson_r,0.6914237186587948,0.001953420526662609
age,ensemble,female,pearson_r,0.6818023344294765,0.002356927722363127
age,activity_tm_3kmh,all,pearson_r,0.6234760960699899,0.001671089388660981
age,activity_tm_3kmh,male,pearson_r,0.6338524943355888,0.002090870882935855
age,activity_tm_3kmh,female,pearson_r,0.6137023859989637,0.002677681225396219
age,activity_self_selected_gait_speed,all,pearson_r,0.602410325336441,0.002511854557864584
age,activity_self_selected_gait_speed,male,pearson_r,0.6248914579560589,0.0034233627216635368
age,activity_self_selected_gait_speed,female,pearson_r,0.5808997941406215,0.0036775128125279815
age,activity_stationary_walk,all,pearson_r,0.5673685476738026,0.0025019265052850493
age,activity_stationary_walk,male,pearson_r,0.5700907400198483,0.0035955250931157343
age,activity_stationary_walk,female,pearson_r,0.5649720517356911,0.002852616068285809
age,activity_sit_to_stand,all,pearson_r,0.4862245725311765,0.0032118952613788107
age,activity_sit_to_stand,male,pearson_r,0.4902529127040621,0.005027911621997153
age,activity_sit_to_stand,female,pearson_r,0.48153468910866015,0.004191266159318749
age,activity_romberg_closed,all,pearson_r,0.39472337319306633,0.0026102994767979925
age,activity_romberg_closed,male,pearson_r,0.385505986426219,0.0037722623229159676
age,activity_romberg_closed,female,pearson_r,0.39995496727855234,0.006107463616484536
age,gait,all,pearson_r,0.4857468227884346,0.005095742604110228
age,gait,male,pearson_r,0.4547756208383206,0.006942428601069619
age,gait,female,pearson_r,0.5123358586948902,0.006091015697251505
bmi,ensemble,all,pearson_r,0.8931373263283984,0.0011447615691753661
bmi,ensemble,male,pearson_r,0.8821154559633563,0.0003727054164774103
bmi,ensemble,female,pearson_r,0.8977009804991047,0.0018346006788823909
bmi,activity_tm_3kmh,all,pearson_r,0.8545210187462375,0.0010127262786249862
bmi,activity_tm_3kmh,male,pearson_r,0.8342663126032497,0.0007361509086593879
bmi,activity_tm_3kmh,female,pearson_r,0.8655456887794685,0.0013843176860731238
bmi,activity_self_selected_gait_speed,all,pearson_r,0.8531403481658779,0.0007857187201394057
bmi,activity_self_selected_gait_speed,male,pearson_r,0.8306066190345369,0.0006992949945050391
bmi,activity_self_selected_gait_speed,female,pearson_r,0.8659715677549288,0.0013337916875249003
bmi,activity_stationary_walk,all,pearson_r,0.8484679686528706,0.0025845632340783533
bmi,activity_stationary_walk,male,pearson_r,0.8406297256760528,0.0010691938941473893
bmi,activity_stationary_walk,female,pearson_r,0.8502950062938195,0.004172602300896022
bmi,activity_sit_to_stand,all,pearson_r,0.8022546121802726,0.0021207237091994194
bmi,activity_sit_to_stand,male,pearson_r,0.7771064484750247,0.0024288689393393756
bmi,activity_sit_to_stand,female,pearson_r,0.8133230587003981,0.0032317355758173564
bmi,activity_romberg_closed,all,pearson_r,0.8146875470873238,0.0023640853418334822
bmi,activity_romberg_closed,male,pearson_r,0.8001914915898019,0.0005854266060472993
bmi,activity_romberg_closed,female,pearson_r,0.821790263811381,0.003942017288401068
bmi,gait,all,pearson_r,0.47523850132497597,0.0028992762397418315
bmi,gait,male,pearson_r,0.4283250459559362,0.0054057894968328754
bmi,gait,female,pearson_r,0.489915807398448,0.0063304753631633695
total_scan_vat_area,ensemble,all,pearson_r,0.8182310000134818,0.0008368948959232422
total_scan_vat_area,ensemble,male,pearson_r,0.8174017106805623,0.0014006373087591458
total_scan_vat_area,ensemble,female,pearson_r,0.7949930115753774,0.0014956525911423962
total_scan_vat_area,activity_tm_3kmh,all,pearson_r,0.7787564879172414,0.0018583564090884394
total_scan_vat_area,activity_tm_3kmh,male,pearson_r,0.7784446562048964,0.0020867406510068492
total_scan_vat_area,activity_tm_3kmh,female,pearson_r,0.724660475314256,0.0031777004864955447
total_scan_vat_area,activity_self_selected_gait_speed,all,pearson_r,0.7776265633908649,0.001752661270196024
total_scan_vat_area,activity_self_selected_gait_speed,male,pearson_r,0.7803489285668139,0.0022782981904828125
total_scan_vat_area,activity_self_selected_gait_speed,female,pearson_r,0.7241864035535688,0.002894168993526948
total_scan_vat_area,activity_stationary_walk,all,pearson_r,0.7923093760533629,0.0015547841807864477
total_scan_vat_area,activity_stationary_walk,male,pearson_r,0.7907493745620565,0.0018919754452527825
total_scan_vat_area,activity_stationary_walk,female,pearson_r,0.7609612600609691,0.0021284647205380906
