system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr,gait_std,baseline_std
medical_conditions,Insomnia,auc,0.5268628921708093,0.0541850851668379,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4726778070039713,male,categorical,,0.0048828125,10,3504,23,0.0262129934210526,0.0376956827411096,0.0337236538426302
medical_conditions,Anal Fissure,auc,0.5048633076351325,0.053888267793637,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4509750398414954,female,categorical,,0.0009765625,10,3504,104,0.0060221354166666,0.0116597958495357,0.0201001067957211
medical_conditions,Breast fibrocystic change,auc,0.5791910158036486,0.0531341093360873,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5260569064675613,female,categorical,,0.0009765625,10,3504,11,0.0060221354166666,0.0175256065645764,0.0228144310789801
medical_conditions,Asthma,auc,0.5545590463413494,0.0514828326531865,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5030762136881629,male,categorical,,0.0009765625,10,3504,92,0.0071149553571428,0.0126250488185972,0.0129869857762329
medical_conditions,Melanoma,auc,0.7208854781582054,0.0471479855154743,True,0.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.673737492642731,male,categorical,,0.013671875,10,3504,10,0.0606317934782608,0.0539423222094371,0.0406989441442542
medical_conditions,Asthma,auc,0.5870075000437065,0.0462842674426591,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5407232326010474,female,categorical,,0.0009765625,10,3504,102,0.0060221354166666,0.0164079098505448,0.0059943963911367
medical_conditions,Meniscus Tears,auc,0.5565778459821429,0.0460376797771566,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5105401662049862,female,categorical,,0.0048828125,10,3504,8,0.0235648777173913,0.0398171870657874,0.0343131682148577
medical_conditions,Psoriasis,auc,0.5231925418569252,0.0425539677303907,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4806385741265345,female,categorical,,0.001953125,10,3504,48,0.01083984375,0.0191150386480419,0.0205193050931396
medical_conditions,Breast Cancer,auc,0.4638597318321108,0.0406656009066029,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4231941309255078,female,categorical,,0.001953125,10,3504,41,0.01083984375,0.0282083444603809,0.0235124711724091
medical_conditions,Heart valve disease,auc,0.5164343170473062,0.0369356322260158,True,1.0,long_seq,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.4794986848212904,male,categorical,,0.001953125,10,3504,23,0.01171875,0.0360437676738454,0.0233246186429104
