activity,gender,target,duration_seconds,pearson_r,source
tm_3kmh,all,bmi,30,0.857550654538678,duration
tm_3kmh,all,bmi,30,0.8606066728827817,duration
tm_3kmh,all,bmi,30,0.8578676119192962,duration
tm_3kmh,all,bmi,30,0.8588415486450867,duration
tm_3kmh,all,bmi,30,0.8582146276295384,duration
tm_3kmh,all,bmi,30,0.8586256549673997,duration
tm_3kmh,all,bmi,30,0.8564784659333652,duration
tm_3kmh,all,bmi,30,0.8558801354696287,duration
tm_3kmh,all,bmi,60,0.8637731031169387,duration
tm_3kmh,all,bmi,60,0.8647803785052319,duration
tm_3kmh,all,bmi,60,0.8595446175061846,duration
tm_3kmh,all,bmi,60,0.8638108676491985,duration
tm_3kmh,all,bmi,60,0.8646402761415557,duration
tm_3kmh,all,bmi,60,0.8632480727053282,duration
tm_3kmh,all,bmi,60,0.8640936788855716,duration
tm_3kmh,all,bmi,60,0.8637495251171231,duration
tm_3kmh,all,bmi,60,0.8618479315596789,duration
tm_3kmh,all,bmi,60,0.8596956804864984,duration
tm_3kmh,all,bmi,180,0.8745481475757133,long_seq_180
tm_3kmh,all,bmi,180,0.8757098115342017,long_seq_180
tm_3kmh,all,bmi,180,0.8734875344439869,long_seq_180
tm_3kmh,all,bmi,180,0.8744470210548221,long_seq_180
tm_3kmh,all,bmi,180,0.8743449339749167,long_seq_180
tm_3kmh,all,bmi,180,0.8746610323151675,long_seq_180
tm_3kmh,all,bmi,180,0.8754014470844281,long_seq_180
tm_3kmh,all,bmi,180,0.8748347137807787,long_seq_180
tm_3kmh,all,bmi,180,0.8726779908864383,long_seq_180
tm_3kmh,all,bmi,180,0.8722340500964021,long_seq_180
tm_3kmh,all,bmi,180,0.8735034038377175,long_seq_180
tm_3kmh,all,bmi,180,0.8739631426937549,long_seq_180
tm_3kmh,all,bmi,180,0.8752751996378648,long_seq_180
tm_3kmh,all,bmi,180,0.873507326427789,long_seq_180
tm_3kmh,all,bmi,180,0.8750460495855223,long_seq_180
tm_3kmh,all,total_scan_vat_area,2,0.7357424282540977,duration
tm_3kmh,all,total_scan_vat_area,2,0.7381417556663388,duration
tm_3kmh,all,total_scan_vat_area,2,0.7400686510748574,duration
tm_3kmh,all,total_scan_vat_area,2,0.7394682263202856,duration
tm_3kmh,all,total_scan_vat_area,2,0.7397986115445525,duration
tm_3kmh,all,total_scan_vat_area,2,0.7393142026962726,duration
tm_3kmh,all,total_scan_vat_area,2,0.73927986436831,duration
tm_3kmh,all,total_scan_vat_area,2,0.7379353934188992,duration
