system,endpoint,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,Glaucoma,male,6,0.6314946535399689,0.6869376795892412
medical_conditions,Glaucoma,male,7,0.6780112110791842,0.7269772481040087
medical_conditions,Glaucoma,male,8,0.6501012765556551,0.6497715389325922
medical_conditions,Glaucoma,male,9,0.647887323943662,0.7931602995901832
medical_conditions,Back Pain,male,0,0.5534167397399005,0.5744247798540182
medical_conditions,Back Pain,male,1,0.5544208277241908,0.5781150810804134
medical_conditions,Back Pain,male,2,0.5540095592140202,0.5722338178809174
medical_conditions,Back Pain,male,3,0.5654509750645309,0.5746297965888179
medical_conditions,Back Pain,male,4,0.5601501809334437,0.6076745421087083
medical_conditions,Back Pain,male,5,0.5493707468290334,0.5776605861502551
medical_conditions,Back Pain,male,6,0.5487359359754969,0.5792834294606577
medical_conditions,Back Pain,male,7,0.5625671553310526,0.5853894700440909
medical_conditions,Back Pain,male,8,0.5641517123837518,0.5683236794328694
medical_conditions,Back Pain,male,9,0.5482863812076227,0.5738937124084525
medical_conditions,Haemorrhoids,male,0,0.5218860405129522,0.5296243322208775
medical_conditions,Haemorrhoids,male,1,0.5339201232258775,0.5520714905685749
medical_conditions,Haemorrhoids,male,2,0.5371059033508148,0.5307245632693977
medical_conditions,Haemorrhoids,male,3,0.5296023275999071,0.5365631227002114
medical_conditions,Haemorrhoids,male,4,0.5369469810882507,0.5370545592352172
medical_conditions,Haemorrhoids,male,5,0.5425923888461022,0.5327220938619333
medical_conditions,Haemorrhoids,male,6,0.5430434835759954,0.5429566875710565
medical_conditions,Haemorrhoids,male,7,0.5356780479456242,0.5502695566068875
medical_conditions,Haemorrhoids,male,8,0.539619320057212,0.5484969621398271
medical_conditions,Haemorrhoids,male,9,0.5321389714062175,0.5215168518722265
medical_conditions,Peptic Ulcer Disease,male,0,0.5392276032670122,0.5734544601539675
medical_conditions,Peptic Ulcer Disease,male,1,0.5,0.5435992578849722
medical_conditions,Peptic Ulcer Disease,male,2,0.5364340093404133,0.5253022839229736
medical_conditions,Peptic Ulcer Disease,male,3,0.5,0.4846352334037063
medical_conditions,Peptic Ulcer Disease,male,4,0.5,0.6305631970656602
medical_conditions,Peptic Ulcer Disease,male,5,0.5159298829249568,0.5617043055466701
medical_conditions,Peptic Ulcer Disease,male,6,0.5088179472415926,0.5759495020578764
medical_conditions,Peptic Ulcer Disease,male,7,0.5219329110954727,0.5455824963214126
medical_conditions,Peptic Ulcer Disease,male,8,0.5100121553323524,0.5179877593670698
medical_conditions,Peptic Ulcer Disease,male,9,0.5,0.5176039067664684
medical_conditions,Anemia,male,0,0.5,0.4292518587360594
medical_conditions,Anemia,male,1,0.5,0.4233271375464684
medical_conditions,Anemia,male,2,0.5,0.4487685873605948
medical_conditions,Anemia,male,3,0.5,0.3482225836431226
medical_conditions,Anemia,male,4,0.5,0.4467936802973977
medical_conditions,Anemia,male,5,0.5,0.4487685873605948
medical_conditions,Anemia,male,6,0.5,0.5060989776951672
medical_conditions,Anemia,male,7,0.5,0.4306459107806691
medical_conditions,Anemia,male,8,0.5,0.4396298017348203
medical_conditions,Anemia,male,9,0.5,0.452892657992565
medical_conditions,Osteoarthritis,male,0,0.6479536979845812,0.6292407293024957
medical_conditions,Osteoarthritis,male,1,0.6406332212385331,0.6198156154919588
medical_conditions,Osteoarthritis,male,2,0.650790382723675,0.6189463088783657
medical_conditions,Osteoarthritis,male,3,0.6466726145540228,0.6420515636080799
medical_conditions,Osteoarthritis,male,4,0.6572644293459612,0.6454372841031272
medical_conditions,Osteoarthritis,male,5,0.6442019536522317,0.610962413927207
medical_conditions,Osteoarthritis,male,6,0.646169331777732,0.6196326035733077
medical_conditions,Osteoarthritis,male,7,0.6290119644041818,0.621302587331
medical_conditions,Osteoarthritis,male,8,0.6388259785418524,0.6714478530414293
medical_conditions,Osteoarthritis,male,9,0.6480223274540754,0.6433555235284698
medical_conditions,Heart valve disease,male,0,0.5,0.5302043987248519
medical_conditions,Heart valve disease,male,1,0.5,0.5433309223392001
medical_conditions,Heart valve disease,male,2,0.5,0.5044871279702108
medical_conditions,Heart valve disease,male,3,0.5,0.5230517827962173
medical_conditions,Heart valve disease,male,4,0.5,0.4859492619679069
medical_conditions,Heart valve disease,male,5,0.5,0.5091483832944896
medical_conditions,Heart valve disease,male,6,0.5,0.5239358139784082
medical_conditions,Heart valve disease,male,7,0.5112513059551554,0.4611963888665648
medical_conditions,Heart valve disease,male,8,0.5129523962602802,0.5586809183208765
medical_conditions,Heart valve disease,male,9,0.5,0.5378660023038389
medical_conditions,Asthma,male,0,0.5070087117966295,0.4994787203656098
medical_conditions,Asthma,male,1,0.5187053698943159,0.5349900028563268
medical_conditions,Asthma,male,2,0.5384461582405027,0.5279205941159669
medical_conditions,Asthma,male,3,0.5296700942587832,0.515824050271351
medical_conditions,Asthma,male,4,0.5228648957440731,0.5513638960297058
medical_conditions,Asthma,male,5,0.5172307912025136,0.5254141673807483
medical_conditions,Asthma,male,6,0.5298271922307912,0.5279920022850615
medical_conditions,Asthma,male,7,0.5183447586403884,0.5170237075121393
medical_conditions,Asthma,male,8,0.5259997143673236,0.5129820051413881
medical_conditions,Asthma,male,9,0.5322872036560982,0.5371608111968009
medical_conditions,Sinusitis,male,0,0.5123376950598828,0.551794802882435
medical_conditions,Sinusitis,male,1,0.5135807031394353,0.5880436060672233
medical_conditions,Sinusitis,male,2,0.5124048846858045,0.5742025431273412
medical_conditions,Sinusitis,male,3,0.5,0.6066383350410697
medical_conditions,Sinusitis,male,4,0.502830362991954,0.5528530394907026
medical_conditions,Sinusitis,male,5,0.525002939546134,0.5307980447818856
medical_conditions,Sinusitis,male,6,0.5,0.5805519627769473
medical_conditions,Sinusitis,male,7,0.5,0.5797120924529253
medical_conditions,Sinusitis,male,8,0.5277745116154066,0.6066383350410697
medical_conditions,Sinusitis,male,9,0.51490769825139,0.591134328859624
medical_conditions,B12 Deficiency,male,0,0.5537398921832885,0.5094451931716082
medical_conditions,B12 Deficiency,male,1,0.5627583108715184,0.5155660377358491
medical_conditions,B12 Deficiency,male,2,0.5544137466307277,0.5369496855345912
medical_conditions,B12 Deficiency,male,3,0.5244946091644205,0.5287174303683737
medical_conditions,B12 Deficiency,male,4,0.5462769541778976,0.5200359389038633
medical_conditions,B12 Deficiency,male,5,0.5308737646001797,0.5044586702605571
medical_conditions,B12 Deficiency,male,6,0.5145327942497753,0.5164195867026056
