feature_set,auc_mean,auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,matched_ashkenazi,matched_non_ashkenazi,n_runs
age_gender_bmi,0.46959288025387763,0.019382800079787942,0.4814763231197771,0.016348678551196684,718.0,718.0,10
gait_embeddings,0.5431333943715521,0.013362721562003363,0.5311977715877437,0.010975425239468274,718.0,718.0,10
