endpoint,system,gender,seed,n,n_positive,prevalence,sex_specific_auc_filter_score,min_sex_specific_auc_required,baseline_auc_selected,gait_auc_selected,delta_auc_selected,auc_selection_fdr,baseline_features,gait_model,ppv_base_top2,ppv_gait_top2,sens_base_top2,sens_gait_top2,delta_sens_top2,fold_change_sens_top2,spec_base_top2,spec_gait_top2,delta_spec_top2,extra_cases_per_1000_top2,ppv_base_top5,ppv_gait_top5,sens_base_top5,sens_gait_top5,delta_sens_top5,fold_change_sens_top5,spec_base_top5,spec_gait_top5,delta_spec_top5,extra_cases_per_1000_top5,ppv_base_top10,ppv_gait_top10,sens_base_top10,sens_gait_top10,delta_sens_top10,fold_change_sens_top10,spec_base_top10,spec_gait_top10,delta_spec_top10,extra_cases_per_1000_top10,ppv_base_top20,ppv_gait_top20,sens_base_top20,sens_gait_top20,delta_sens_top20,fold_change_sens_top20,spec_base_top20,spec_gait_top20,delta_spec_top20,extra_cases_per_1000_top20,nb_base_0.02,nb_gait_0.02,delta_nb_0.02,nb_base_0.04,nb_gait_0.04,delta_nb_0.04,nb_base_0.06,nb_gait_0.06,delta_nb_0.06,nb_base_0.08,nb_gait_0.08,delta_nb_0.08,nb_base_0.10,nb_gait_0.10,delta_nb_0.10,nb_base_0.12,nb_gait_0.12,delta_nb_0.12,nb_base_0.14,nb_gait_0.14,delta_nb_0.14,nb_base_0.16,nb_gait_0.16,delta_nb_0.16,nb_base_0.18,nb_gait_0.18,delta_nb_0.18,nb_base_0.20,nb_gait_0.20,delta_nb_0.20,nb_base_0.22,nb_gait_0.22,delta_nb_0.22,nb_base_0.24,nb_gait_0.24,delta_nb_0.24,nb_base_0.26,nb_gait_0.26,delta_nb_0.26,nb_base_0.28,nb_gait_0.28,delta_nb_0.28,nb_base_0.30,nb_gait_0.30,delta_nb_0.30,display_endpoint
ADRENERGICSINHALANTS,medications,female,0,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.02857142857142857,0.0,0.05555555555555555,0.05555555555555555,,0.9798966111430213,0.980470993681792,0.0005743825387707346,0.5685048322910744,0.011363636363636364,0.022727272727272728,0.05555555555555555,0.1111111111111111,0.05555555555555555,2.0,0.9500287191269385,0.9506031016657094,0.0005743825387708457,0.5685048322910744,0.022727272727272728,0.022727272727272728,0.2222222222222222,0.2222222222222222,0.0,1.0,0.9012062033314188,0.9012062033314188,0.0,0.0,0.014204545454545454,0.014204545454545454,0.2777777777777778,0.2777777777777778,0.0,1.0,0.800689259046525,0.800689259046525,0.0,0.0,-0.00015082781264865242,0.0001160213943451169,0.26684920699376935,0.0,-0.0010896342618912265,-1.0896342618912265,0.0,-0.001354734919502135,-1.354734919502135,0.0,-0.0011617272659861088,-1.1617272659861089,0.0,-0.0006948392394668689,-0.6948392394668689,0.0,-0.00028425241614553733,-0.2842524161455373,0.0,-7.932625566852217e-05,-0.07932625566852217,0.0,-0.0006497198083326566,-0.6497198083326565,0.0,-0.0006239687183682524,-0.6239687183682524,0.0,-0.00042637862421830583,-0.42637862421830586,0.0,-0.0004810425504001399,-0.4810425504001399,0.0,-0.0003590556835522575,-0.3590556835522575,0.0,-0.0001997449410752424,-0.1997449410752424,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,1,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.0,0.0,0.0,0.0,,0.9798966111430213,0.9798966111430213,0.0,0.0,0.0,0.011363636363636364,0.0,0.05555555555555555,0.05555555555555555,,0.9494543365881677,0.9500287191269385,0.0005743825387708457,0.5685048322910744,0.005681818181818182,0.011363636363636364,0.05555555555555555,0.1111111111111111,0.05555555555555555,2.0,0.8994830557151062,0.9000574382538771,0.0005743825387708457,0.5685048322910744,0.008522727272727272,0.017045454545454544,0.16666666666666666,0.3333333333333333,0.16666666666666666,2.0,0.7995404939689833,0.8012636415852958,0.001723147616312537,1.7055144968732234,-0.0002320427886902345,-0.001137009664582149,-0.9049668758919147,-7.106310403638432e-05,-0.0018002653022550694,-1.7292021982186851,0.0,-0.0013910224619887994,-1.3910224619887994,0.0,-0.0017302320982771832,-1.7302320982771833,0.0,-0.0015160128861095318,-1.5160128861095319,0.0,-0.0012403741795441623,-1.2403741795441623,0.0,-0.0007403783862395389,-0.7403783862395389,0.0,-0.0006497198083326566,-0.6497198083326565,0.0,-0.00037438123102095147,-0.37438123102095144,0.0,-0.00042637862421830583,-0.42637862421830586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,2,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.02857142857142857,0.0,0.05555555555555555,0.05555555555555555,,0.9798966111430213,0.980470993681792,0.0005743825387707346,0.5685048322910744,0.0,0.011363636363636364,0.0,0.05555555555555555,0.05555555555555555,,0.9494543365881677,0.9500287191269385,0.0005743825387708457,0.5685048322910744,0.017045454545454544,0.011363636363636364,0.16666666666666666,0.1111111111111111,-0.05555555555555555,0.6666666666666666,0.9006318207926479,0.9000574382538771,-0.0005743825387708457,-0.5685048322910744,0.008522727272727272,0.017045454545454544,0.16666666666666666,0.3333333333333333,0.16666666666666666,2.0,0.7995404939689833,0.8012636415852958,0.001723147616312537,1.7055144968732234,-0.0002784513464282814,-0.00038287060133888754,-0.10441925491060615,0.0,-0.002226643926473376,-2.226643926473376,0.0,-0.0016813228018821137,-1.6813228018821138,0.0,-0.0009639864547544307,-0.9639864547544308,0.0,-0.0005053376287031774,-0.5053376287031774,0.0,2.5841128740503364e-05,0.025841128740503365,0.0,-0.00037018919311976946,-0.37018919311976944,0.0,-0.00021657326944421885,-0.21657326944421884,0.0,-0.0002495874873473009,-0.24958748734730093,0.0,-0.0001421262080727686,-0.1421262080727686,0.0,-0.00016034751680004663,-0.16034751680004664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,3,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.0,0.0,0.0,0.0,,0.9798966111430213,0.9798966111430213,0.0,0.0,0.011363636363636364,0.011363636363636364,0.05555555555555555,0.05555555555555555,0.0,1.0,0.9500287191269385,0.9500287191269385,0.0,0.0,0.011363636363636364,0.011363636363636364,0.1111111111111111,0.1111111111111111,0.0,1.0,0.9000574382538771,0.9000574382538771,0.0,0.0,0.011363636363636364,0.008522727272727272,0.2222222222222222,0.16666666666666666,-0.05555555555555555,0.75,0.8001148765077541,0.7995404939689833,-0.0005743825387708457,-0.5685048322910744,-0.0002436449281247462,-0.0010325904096715438,-0.7889454815467976,0.0,-0.0017292021982186852,-1.7292021982186851,0.0,-0.0019232397517932095,-1.9232397517932094,0.0,-0.0016313616926613439,-1.631361692661344,0.0,-0.0012001768681700461,-1.2001768681700462,0.0,-0.0012403741795441623,-1.2403741795441623,0.0,-0.0009254729827994236,-0.9254729827994237,0.0,-0.000758006443054766,-0.758006443054766,0.0,-0.0006239687183682524,-0.6239687183682524,0.0,-0.0002842524161455372,-0.2842524161455372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,4,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.0,0.0,0.0,0.0,,0.9798966111430213,0.9798966111430213,0.0,0.0,0.0,0.011363636363636364,0.0,0.05555555555555555,0.05555555555555555,,0.9494543365881677,0.9500287191269385,0.0005743825387708457,0.5685048322910744,0.0,0.011363636363636364,0.0,0.1111111111111111,0.1111111111111111,,0.8989086731763355,0.9000574382538771,0.0011487650775415803,1.1370096645821488,0.005681818181818182,0.014204545454545454,0.1111111111111111,0.2777777777777778,0.16666666666666669,2.5000000000000004,0.7989661114302126,0.800689259046525,0.001723147616312426,1.7055144968732234,-0.00031325776473181655,-0.0008817625970228913,-0.5685048322910747,0.0,-0.0013265112753458406,-1.3265112753458406,0.0,-0.001632939411899895,-1.632939411899895,0.0,-0.0015324912870455052,-1.5324912870455052,0.0,-0.0014528456825216348,-1.452845682521635,0.0,-0.001007804020879632,-1.007804020879632,0.0,-0.0008329256845194813,-0.8329256845194813,0.0,-0.0003248599041663283,-0.32485990416632826,0.0,-0.0002495874873473009,-0.24958748734730093,0.0,-0.0002842524161455372,-0.2842524161455372,0.0,-0.00032069503360009327,-0.32069503360009327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,5,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.0,0.0,0.0,0.0,,0.9798966111430213,0.9798966111430213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9494543365881677,0.9494543365881677,0.0,0.0,0.005681818181818182,0.0,0.05555555555555555,0.0,-0.05555555555555555,0.0,0.8994830557151062,0.8989086731763355,-0.0005743825387707346,-0.5685048322910744,0.005681818181818182,0.005681818181818182,0.1111111111111111,0.1111111111111111,0.0,1.0,0.7989661114302126,0.7989661114302126,0.0,0.0,-0.0005336984139875393,-0.001983965843301505,-1.4502674293139655,0.0,-0.0019187038089823764,-1.9187038089823765,0.0,-0.0013789266144932444,-1.3789266144932444,0.0,-0.001235880070197988,-1.235880070197988,0.0,-0.0010106752574063546,-1.0106752574063547,0.0,-0.0009302806346581218,-0.9302806346581217,0.0,-0.0007403783862395389,-0.7403783862395389,0.0,-0.0005414331736105472,-0.5414331736105472,0.0,-0.00012479374367365046,-0.12479374367365047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,6,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.02857142857142857,0.0,0.05555555555555555,0.05555555555555555,,0.9798966111430213,0.980470993681792,0.0005743825387707346,0.5685048322910744,0.0,0.022727272727272728,0.0,0.1111111111111111,0.1111111111111111,,0.9494543365881677,0.9506031016657094,0.0011487650775416913,1.1370096645821488,0.017045454545454544,0.011363636363636364,0.16666666666666666,0.1111111111111111,-0.05555555555555555,0.6666666666666666,0.9006318207926479,0.9000574382538771,-0.0005743825387708457,-0.5685048322910744,0.014204545454545454,0.014204545454545454,0.2777777777777778,0.2777777777777778,0.0,1.0,0.800689259046525,0.800689259046525,0.0,0.0,-0.00030165562529730483,-0.0015082781264865244,-1.2066225011892195,0.0,-0.000971195755163919,-0.971195755163919,0.0,-0.00081042178220217,-0.81042178220217,0.0,-0.000617940035098994,-0.617940035098994,0.0,-0.00037900322152738307,-0.3790032215273831,0.0,-0.00028425241614553733,-0.2842524161455373,0.0,-0.0004627364913997118,-0.46273649139971185,0.0,-0.0003248599041663283,-0.32485990416632826,0.0,-0.00037438123102095147,-0.37438123102095144,0.0,-0.0002842524161455372,-0.2842524161455372,0.0,-0.00032069503360009327,-0.32069503360009327,0.0,-0.00017952784177612875,-0.17952784177612874,0.0,-0.0001997449410752424,-0.1997449410752424,0.0,-0.0002210852125576401,-0.2210852125576401,0.0,-0.0002436449281247462,-0.2436449281247462,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,7,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.05714285714285714,0.0,0.1111111111111111,0.1111111111111111,,0.9798966111430213,0.9810453762205629,0.0011487650775415803,1.1370096645821488,0.0,0.03409090909090909,0.0,0.16666666666666666,0.16666666666666666,,0.9494543365881677,0.9511774842044802,0.001723147616312537,1.7055144968732234,0.0,0.022727272727272728,0.0,0.2222222222222222,0.2222222222222222,,0.8989086731763355,0.9012062033314188,0.0022975301550832716,2.2740193291642976,0.008522727272727272,0.011363636363636364,0.16666666666666666,0.2222222222222222,0.05555555555555555,1.3333333333333333,0.7995404939689833,0.8001148765077541,0.0005743825387708457,0.5685048322910744,-0.00025524706755925794,-8.121497604158222e-05,0.17403209151767574,0.0,-0.0005685048322910747,-0.5685048322910746,0.0,-6.047923747777399e-05,-0.06047923747777399,0.0,0.0002471760140395976,0.2471760140395976,0.0,0.0005685048322910744,0.5685048322910744,0.0,2.5841128740503364e-05,0.025841128740503365,0.0,0.00010576834089136262,0.10576834089136261,0.0,2.707165868052726e-05,0.02707165868052726,0.0,-0.0004991749746946018,-0.49917497469460187,0.0,-0.0001421262080727686,-0.1421262080727686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,8,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.02857142857142857,0.0,0.05555555555555555,0.05555555555555555,,0.9798966111430213,0.980470993681792,0.0005743825387707346,0.5685048322910744,0.0,0.011363636363636364,0.0,0.05555555555555555,0.05555555555555555,,0.9494543365881677,0.9500287191269385,0.0005743825387708457,0.5685048322910744,0.005681818181818182,0.022727272727272728,0.05555555555555555,0.2222222222222222,0.16666666666666666,4.0,0.8994830557151062,0.9012062033314188,0.001723147616312537,1.7055144968732234,0.005681818181818182,0.017045454545454544,0.1111111111111111,0.3333333333333333,0.2222222222222222,3.0,0.7989661114302126,0.8012636415852958,0.0022975301550832716,2.2740193291642976,-0.00030165562529730483,0.00018563423095218712,0.48728985624949195,0.0,-0.0014923251847640707,-1.4923251847640706,0.0,-0.001245872292042142,-1.2458722920421421,0.0,-0.0007168104407148331,-0.7168104407148331,0.0,-0.0006948392394668689,-0.6948392394668689,0.0,-0.0005426637035505711,-0.542663703550571,0.0,-0.0004627364913997118,-0.46273649139971185,0.0,-0.0005414331736105472,-0.5414331736105472,0.0,-0.0004991749746946018,-0.49917497469460187,0.0,-0.0002842524161455372,-0.2842524161455372,0.0,-0.00016034751680004663,-0.16034751680004664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
ADRENERGICSINHALANTS,medications,female,9,1759,18,0.01023308698123934,0.5461238747816741,0.52,0.4107616950666921,0.5461238747816741,0.135362179714982,0.00537109375,age + BMI + height,age + BMI + height + gait embedding score,0.0,0.02857142857142857,0.0,0.05555555555555555,0.05555555555555555,,0.9798966111430213,0.980470993681792,0.0005743825387707346,0.5685048322910744,0.022727272727272728,0.011363636363636364,0.1111111111111111,0.05555555555555555,-0.05555555555555555,0.5,0.9506031016657094,0.9500287191269385,-0.0005743825387708457,-0.5685048322910744,0.017045454545454544,0.005681818181818182,0.16666666666666666,0.05555555555555555,-0.1111111111111111,0.3333333333333333,0.9006318207926479,0.8994830557151062,-0.0011487650775416913,-1.1370096645821488,0.008522727272727272,0.011363636363636364,0.16666666666666666,0.2222222222222222,0.05555555555555555,1.3333333333333333,0.7995404939689833,0.8001148765077541,0.0005743825387708457,0.5685048322910744,-0.00035966632246986344,-0.0019027508672599229,-1.5430845447900596,0.0,-0.001397574379382225,-1.397574379382225,0.0,-0.0010644345796088205,-1.0644345796088206,0.0,-0.0007662456435227525,-0.7662456435227525,0.0,-0.0012633440717579433,-1.2633440717579434,0.0,-0.0010853274071011422,-1.085327407101142,0.0,-0.0008329256845194813,-0.8329256845194813,0.0,-0.0004331465388884377,-0.4331465388884377,0.0,-0.0002495874873473009,-0.24958748734730093,0.0,-0.0002842524161455372,-0.2842524161455372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenergics inhalants
